rank,title,gross,theaters,total gross,release date,distributor,download URL
1,Finding Nemo,"$339,714,184","3,425","$339,714,978",May 30,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/120/Finding.Nemo.2003.1080p.BluRay.x264.YIFY-en.html
2,Pirates of the Caribbean: The Curse of the Black Pearl,"$305,398,779","3,416","$305,413,918",July 9,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/126/Pirates.of.the.Caribbean.Curse.of.the.Black.Pearl.2003.720p.BrRip.x264.Deceit.YIFY_1.html
3,The Matrix Reloaded,"$281,576,461","3,603","$281,576,461",May 15,Warner Bros.,https://www.subtitlecat.com/subs/40/The.Matrix.Reloaded.2003.Subtitles.YIFY.html
4,The Lord of the Rings: The Return of the King,"$249,445,927","3,703","$377,027,325",Dec 17,New Line Cinema,https://www.subtitlecat.com/subs/176/the-lord-of-the-rings-the-return-of-the-king-yify-english.html
5,Bruce Almighty,"$242,829,261","3,549","$242,829,261",May 23,Universal Pictures,https://subtitlecat.com/subs/565/Bruce%20Almighty%20%282003%29.html
6,X2: X-Men United,"$214,949,694","3,749","$214,949,694",May 2,Twentieth Century Fox,https://subtitlecat.com/subs/829/02%20X-Men%20United%20-%20Action%202003%20English.html
7,Elf,"$167,547,000","3,381","$173,398,518",Nov 7,New Line Cinema,https://subtitlecat.com/subs/333/Elf-English.html
8,Chicago,"$167,511,932","2,701","$170,687,518",Dec 27,Miramax,https://www.subtitlecat.com/subs/78/Chicago.English.html
9,Terminator 3: Rise of the Machines,"$150,371,112","3,504","$150,371,112",Jul 2,Warner Bros.,https://www.subtitlecat.com/subs/47/Terminator.3.Rise.of.the.Machines.2003.720p.BluRay.x264.YIFY.html
10,Bad Boys II,"$138,608,444","3,202","$138,608,444",Jul 18,Sony Pictures Releasing,https://www.subtitlecat.com/subs/25/Bad.Boys.II.2003.720p.BluRay.X264.YIFY-1.html
11,The Matrix Revolutions,"$138,041,173","3,502","$139,313,948",Nov 5,Warner Bros.,https://www.subtitlecat.com/subs/158/The.Matrix.Revolutions.2003.REMASTERED.1080p.BluRay.H264.AAC-RARBG.html
12,Anger Management,"$135,645,823","3,656","$135,645,823",Apr 11,Revolution Studios,https://www.subtitlecat.com/subs/13/Anger.Management.2003.1080p.BluRay.x264.AC3-ETRG.English.html
13,Bringing Down the House,"$132,716,848","2,910","$132,716,677",Mar 7,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/39/Bringing.Down.the.House.2003.720p.BluRay.x264-PSYCHD_eng.html
14,Hulk,"$132,177,234","3,674","$132,177,234",Jun 20,Universal Pictures,https://www.subtitlecat.com/subs/129/Hulk.2003.REMASTERED.1080p.BluRay.html
15,2 Fast 2 Furious,"$127,154,901","3,418","$127,154,901",Jun 6,Universal Pictures,https://www.subtitlecat.com/subs/33/2.Fast.2.Furious.2003.REMASTERED.1080p.BluRay.H264.AAC-RARBG-.html
16,The Lord of the Rings: The Two Towers,"$121,193,976","3,622","$339,789,881",Dec 18,New Line Cinema,https://www.subtitlecat.com/subs/82/The%20Lord%20of%20the%20Rings%20%20The%20Two%20Towers.html
17,Seabiscuit,"$120,231,534","2,573","$120,277,854",Jul 25,Universal Pictures,https://subtitlecat.com/subs/123/Seabiscuit.2003.1080p.BluRay.x264.AAC.5.1-POOP.eng.html
18,S.W.A.T.,"$116,934,650","3,220","$116,934,650",Aug 8,Sony Pictures Releasing,https://www.subtitlecat.com/subs/260/S.W.A.T.2003.1080p.BluRay.x265-RARBG.html
19,Spy Kids 3: Game Over,"$111,637,760","3,388","$111,761,982",Jul 25,Dimension Films,https://www.subtitlecat.com/subs/179/Spy.Kids.3.Game.Over.2003.1080p.BluRay.x264-SECTOR7.html
20,Freaky Friday,"$110,100,826","3,067","$110,230,332",Aug 6,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/749/Freaky%20Friday%202003.html
21,Scary Movie 3,"$109,362,202","3,505","$110,003,217",Oct 24,Dimension Films,https://www.subtitlecat.com/subs/47/Scary%20Movie%203%20%282003%29.en.bug-fixed.html
22,The Italian Job,"$106,128,601","2,877","$106,128,601",May 30,Paramount Pictures,https://subtitlecat.com/subs/639/The.Italian.Job.2003.720p.BrRip.x264.YIFY.Fixed-English.html
23,How to Lose a Guy in 10 Days,"$105,813,373","2,923","$105,813,373",Feb 7,Paramount Pictures,https://www.subtitlecat.com/subs/219/How.To.Lose.A.Guy.In.10.Days.2003.720p.BrRip.x264.YIFY.CH.html
24,American Wedding,"$104,565,114","3,175","$104,565,114",Aug 1,Universal Pictures,https://www.subtitlecat.com/subs/180/American.Wedding.2003.1080p.BluRay.x265-RARBG.html
25,Daddy Day Care,"$104,297,061","3,472","$104,297,061",May 9,Revolution Studios,https://www.subtitlecat.com/subs/184/Daddy.Day.Care.2003.1080p.WEBRip.x264-TrIpLeM.html
26,Daredevil,"$102,543,518","3,474","$102,543,518",Feb 14,Twentieth Century Fox,https://www.subtitlecat.com/subs/32/Daredevil%202003.html
27,Catch Me If You Can,"$102,042,590","3,225","$164,615,351",Dec 25,DreamWorks Distribution,https://www.subtitlecat.com/subs/154/Catch.Me.If.You.Can.html
28,Charlie's Angels: Full Throttle,"$100,830,111","3,485","$100,830,111",Jun 27,Sony Pictures Releasing,https://www.subtitlecat.com/subs/776/Charlies%20Angels%20Full%20Throttle%202003-English.html
29,The Cat in the Hat,"$98,050,995","3,467","$101,149,285",Nov 21,Universal Pictures,https://www.subtitlecat.com/subs/134/Dr%20Seuss%20The%20Cat%20In%20The%20Hat%20Feature_EN.html
30,"Legally Blonde 2: Red, White & Blonde","$90,186,328","3,375","$90,186,328",Jul 2,Metro-Goldwyn-Mayer (MGM),https://subtitlecat.com/subs/749/Legally.Blonde.2.Red.White.and.Blonde.2003.1080p.BrRip.x264.YIFY.html
31,Freddy vs. Jason,"$82,618,358","3,014","$82,622,655",Aug 15,New Line Cinema,https://www.subtitlecat.com/subs/330/Freddy.vs.Jason.2003.1080p.BluRay.x265-RARBG.html
32,Brother Bear,"$82,580,265","3,030","$85,336,277",Oct 24,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/739/Brother%20Bear%202003.html
33,Master and Commander: The Far Side of the World,"$81,531,748","3,101","$93,927,920",Nov 14,Twentieth Century Fox,https://subtitlecat.com/subs/197/Master.and.Commander.The.Far.Side.of.the.World.2003.1080p.BrRip.x264.YIFY.html
34,The Texas Chainsaw Massacre,"$80,235,942","3,018","$80,571,655",Oct 17,New Line Cinema,https://www.subtitlecat.com/subs/12/The.Texas.Chainsaw.Massacre.2003.720p.BrRip.x264.YIFY.html
35,School of Rock,"$79,870,600","2,951","$81,261,177",October 3,Paramount Pictures,https://www.subtitlecat.com/subs/32/The.School.Of.Rock.2003.1080p.BluRay.x264.YIFY.html
36,The Last Samurai,"$79,722,506","2,938","$111,127,263",Dec 5,Warner Bros.,https://www.subtitlecat.com/subs/21/The%20Last%20Samurai%20%282003%29%20English.html
37,Old School,"$75,585,093","2,742","$75,585,093",Feb 21,DreamWorks Distribution,https://subtitlecat.com/subs/29/Old%20School.html
38,Kill Bill: Vol. 1,"$69,709,607","3,102","$70,099,045",October 10,Miramax,https://www.subtitlecat.com/subs/143/Kill.Bill.Volume.1.html
39,Holes,"$67,406,573","2,452","$67,406,573",Apr 18,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/350/Holes.2003.BRRip.XviD.MP3-XVID-English.html
40,The Haunted Mansion,"$67,016,288","3,122","$75,847,266",Nov 26,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/270/The.Haunted.Mansion.2003.1080p.BluRay.x265-RARBG.html
41,Kangaroo Jack,"$66,934,963","2,848","$66,934,963",Jan 17,Warner Bros.,https://www.subtitlecat.com/subs/214/Kangaroo.Jack.2003.720p.BluRay.x264.%5BYTS.MX%5D-English.html
42,The League of Extraordinary Gentlemen,"$66,465,204","3,002","$66,465,204",Jul 11,Twentieth Century Fox,https://www.subtitlecat.com/subs/66/The.League.of.Extraordinary.Gentlemen.2003.720p.BrRip.x264.YIFY.html
43,Lara Croft: Tomb Raider - The Cradle of Life,"$65,660,196","3,222","$65,660,196",Jul 25,Paramount Pictures,https://subtitlecat.com/subs/215/Lara.Croft.Tomb.Raider.The.Cradle.Of.Life.2003.720p.BluRay.x264.AAC-%5BYTS.MX%5D.html
44,Something's Gotta Give,"$65,230,765","2,876","$124,728,738",Dec 12,Sony Pictures Releasing,https://www.subtitlecat.com/subs/366/Somethings.Gotta.Give.2003.720p.HDTV.DD5.1.x264-EbP.english.html
45,About Schmidt,"$61,997,645","1,240","$65,016,287",Dec 13,New Line Cinema,https://www.subtitlecat.com/subs/125/About.Schmidt.2002.1080.html
46,Shanghai Knights,"$60,476,906","2,755","$60,476,872",February 7,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/42/Shanghai.Knights.2003.1080p.BluRay.x264.YIFY.HI.html
47,Open Range,"$58,331,254","2,268","$58,331,254",Aug 15,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/582/Open%20Range%202003%20HD.html
48,Gothika,"$57,711,948","2,382","$59,694,580",Nov 21,Warner Bros.,https://subtitlecat.com/subs/257/Gothika.2003.1080p.BluRay.H264.AAC-RARBG.html
49,Love Actually,"$56,446,240","1,714","$59,827,019",Nov 7,Universal Pictures,https://www.subtitlecat.com/subs/222/Love.Actually.2003.eng.HI.html
50,Once Upon a Time in Mexico,"$56,359,780","3,289","$56,359,780",Sep 12,Sony Pictures Releasing,https://www.subtitlecat.com/subs/91/Once.Upon.A.Time.in.Mexico.2003.1080p.BrRip.x264.YIFY.html
51,Just Married,"$56,127,162","2,769","$56,127,162",Jan 10,Twentieth Century Fox,https://www.subtitlecat.com/subs/67/Just.Married.2003.1080p.BluRay.H264.AAC-RARBG.html
52,Cheaper by the Dozen,"$55,618,744","3,307","$138,614,544",Dec 25,Twentieth Century Fox,https://www.subtitlecat.com/subs/166/Cheaper.by.the.Dozen.2003.html
53,Mystic River,"$53,765,605","1,581","$90,135,191",Oct 8,Warner Bros.,https://www.subtitlecat.com/subs/919/Mystic.River.2003.1080p.BluRay.x264.YIFY.html
54,Bad Santa,"$52,849,000","2,540","$60,060,328",Nov 26,Dimension Films,https://www.subtitlecat.com/subs/19/Bad%20Santa%20%282003%29.html
55,The Recruit,"$52,802,070","2,376","$52,802,140",Jan 31,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/133/The.Recruit.2003.1080p.BrRip.x264.YIFY.html
56,Identity,"$52,180,374","2,733","$52,159,536",April 25,Sony Pictures Releasing,https://subtitlecat.com/subs/111/Identity.2003.1080p.BrRip.x264.BOKUTOX.YIFY.html
57,Underworld,"$51,791,168","2,928","$51,970,690",Sep 19,Screen Gems,https://subtitlecat.com/subs/295/Underworld.2003.UNRATED.1080p.BluRay.x265-RARBG.html
58,Radio,"$51,422,388","3,074","$52,333,738",Oct 24,Revolution Studios,https://www.subtitlecat.com/subs/366/Radio.2003.English.html
59,Runaway Jury,"$48,931,905","2,815","$49,443,628",Oct 17,Twentieth Century Fox,https://www.subtitlecat.com/subs/109/Runaway.Jury.2003.720p.BluRay.x264.DTS-WiKi.html
60,Agent Cody Banks,"$47,938,330","3,369","$47,938,330",Mar 14,Metro-Goldwyn-Mayer (MGM),https://www.subtitlecat.com/subs/132/Agent.Cody.Banks.2003.720p.BluRay.x264-HD4U.html
61,The Jungle Book 2,"$47,906,341","2,815","$47,901,582",Feb 14,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/333/The.Jungle.Book.2.2003.1080p.BluRay.x265-RARBG.html
62,The Rundown,"$47,726,342","3,154","$47,726,342",Sep 26,Universal Pictures,https://www.subtitlecat.com/subs/603/The%20Rundown%202003.html
63,Final Destination 2,"$46,977,989","2,834","$46,961,214",Jan 31,New Line Cinema,https://subtitlecat.com/subs/198/Final.Destination.2.2003.1080p.BluRay.x264.AC3-ETRG.English.html
64,Phone Booth,"$46,566,212","2,489","$46,566,212",Apr 4,Twentieth Century Fox,https://www.subtitlecat.com/subs/36/Phone.Booth.2002.720p.BrRip.x264.YIFY.html
65,28 Days Later,"$45,064,915","1,407","$45,064,915",Jun 27,Fox Searchlight Pictures,https://www.subtitlecat.com/subs/69/28.Days.Later.2002.1080p.BluRay.H264.AAC-RARBG.html
66,Tears of the Sun,"$43,734,892","2,973","$43,734,876",March 7,Revolution Studios,https://www.subtitlecat.com/subs/39/Tears.Of.The.Sun.2003.html
67,Gangs of New York,"$43,461,051","2,340","$77,812,000",Dec 20,Miramax,https://subtitlecat.com/subs/331/Gangs.Of.New.York.2002.REMASTERED.2002.1080p.BrRip.x264.YIFY.html
68,Under the Tuscan Sun,"$43,180,328","1,701","$43,610,723",September 26,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/385/Under.The.Tuscan.Sun.2003.1080p.BluRay.x265-RARBG.html
69,Two Weeks Notice,"$43,153,532","2,755","$93,354,851",Dec 20,Warner Bros.,https://www.subtitlecat.com/subs/82/Two.Weeks.Notice.2002.720p.BluRay.X264-AMIABLE.html
70,The Lizzie McGuire Movie,"$42,734,455","2,825","$42,734,455",May 2,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/466/The%20Lizzie%20McGuire%20Movie%20%282003%29.English.html
71,Secondhand Lions,"$42,071,531","3,038","$42,070,939",Sep 19,New Line Cinema,https://subtitlecat.com/subs/444/Secondhand.Lions.2003.720p.BluRay.%20x264-SiNNERS.html
72,The Hours,"$41,168,679","1,010","$41,675,994",Dec 27,Paramount Pictures,not available
73,Out of Time,"$41,052,503","3,076","$41,088,845",Oct 3,Metro-Goldwyn-Mayer (MGM),https://www.subtitlecat.com/subs/14/Out%20of%20Time%202003.720p.BrRip.x264.YIFY.html
74,Rugrats Go Wild,"$39,402,572","3,041","$39,402,572",Jun 13,Paramount Pictures,not available
75,Mona Lisa Smile,"$38,594,145","2,714","$63,860,942",Dec 19,Revolution Studios,https://www.subtitlecat.com/subs/38/Mona.Lisa.Smile.2003.720p.BluRay.x264-SiNNERS_eng.html
76,Head of State,"$38,125,247","2,256","$38,125,247",Mar 28,DreamWorks Distribution,https://www.subtitlecat.com/subs/222/Head.Of.State.2003.1080p.WEBRip.x264-RARBG.html
77,Good Boy,"$37,650,360","3,225","$37,667,746",Oct 10,Metro-Goldwyn-Mayer (MGM),https://www.subtitlecat.com/subs/247/Good.Boy.2003.1080p.WEBRip.x265-RARBG.html
78,Uptown Girls,"$37,182,494","2,495","$37,182,494",Aug 15,Metro-Goldwyn-Mayer (MGM),https://www.subtitlecat.com/subs/448/Uptown.Girls.2003.HDTV.720p.H264-eng.html
79,Matchstick Men,"$36,906,460","2,711","$36,906,460",Sep 12,Warner Bros.,https://www.subtitlecat.com/subs/579/Matchstick.Men.2003.1080p.BluRay.x264.YIFY.html
80,National Security,"$36,377,344","2,729","$36,381,186",Jan 17,Sony Pictures Releasing,https://subtitlecat.com/subs/196/National.Security.2003.1080p.BluRay.x264.TrueHD-ETRG.English.html
81,What a Girl Wants,"$36,105,433","2,964","$36,105,433",Apr 4,Warner Bros.,https://www.subtitlecat.com/subs/222/What.a.Girl.Wants.2003.720p.WEB-DL.DD.5.1.H264-FGT.html
82,Jeepers Creepers 2,"$35,666,252","3,124","$35,667,218",Aug 29,United Artists,https://www.subtitlecat.com/subs/795/Jeepers.Creepers.II.2003.720p.BluRay.DTS.x264-PublicHD-English.html
83,Intolerable Cruelty,"$35,267,692","2,570","$35,327,628",Oct 10,Universal Pictures,https://www.subtitlecat.com/subs/713/Intolerable.Cruelty.2003.1080p.BluRay.H264.AAC-RARBG.html
84,Cradle 2 the Grave,"$34,712,347","2,625","$34,712,347",Feb 28,Warner Bros.,https://www.subtitlecat.com/subs/48/Cradle.2.The.Grave.2003.1080p.YIFY.html
85,Malibu's Most Wanted,"$34,432,201","2,503","$34,432,201",Apr 18,Warner Bros.,https://subtitlecat.com/subs/200/Malibus.Most.Wanted.2003.1080p.WEB-DL.DD.5.1.H264-FGT.html
