Rank,Release,Gross,Theaters,Total Gross,Release Date,Distributor,search key,download URL
40,Stuart Little 2,"$64,883,156","3,282","$64,956,806",Jul 19,Sony Pictures Releasing,Stuart Little 2 subtitles cat,https://www.subtitlecat.com/subs/176/Stuart%20Little-2.html
41,Jackass: The Movie,"$64,088,388","2,532","$64,255,312",Oct 25,Paramount Pictures,Jackass: The Movie subtitles cat,https://subtitlecat.com/subs/88/Jackass%20The%20Movie%20%5B2002%5D%20Unrated%20DVDRip%20-%20STAR143.html
42,Catch Me If You Can,"$62,572,761","3,225","$164,615,351",Dec 25,DreamWorks Distribution,Catch Me If You Can subtitles cat,https://www.subtitlecat.com/subs/154/Catch.Me.If.You.Can.html
43,Maid in Manhattan,"$62,130,801","3,050","$94,011,225",Dec 13,Revolution Studios,Maid in Manhattan subtitles cat,https://subtitlecat.com/subs/20/Maid.In.Manhattan.2002.1080p.BluRay.H264.AAC-RARBG_.html
44,The Time Machine,"$56,832,494","2,958","$56,832,494",Mar 8,DreamWorks Distribution,The Time Machine subtitles cat,https://www.subtitlecat.com/subs/8/The.Time.Machine.2002.BRRip.720p.YIFY.html
45,The Count of Monte Cristo,"$54,234,062","2,211","$54,234,062",Jan 25,Walt Disney Studios Motion Pictures,The Count of Monte Cristo subtitles cat,https://www.subtitlecat.com/subs/858/The%20count%20of%20monte%20cristo%20%282024%29.html
46,Unfaithful,"$52,775,765","2,625","$52,775,765",May 8,Twentieth Century Fox,Unfaithful subtitles cat,https://subtitlecat.com/subs/450/Unfaithful.2002.BluRay.1080p.html
47,Like Mike,"$51,432,760","2,436","$51,432,760",Jul 3,Twentieth Century Fox,Like Mike subtitles cat,https://www.subtitlecat.com/subs/728/Like.Mike.2002.720p.WEBRip.x264.AAC-%5BYTS.MX%5D.html
48,Ocean's Eleven,"$51,268,627","3,075","$183,417,150",Dec 7,Warner Bros.,Ocean's Eleven subtitles cat,https://www.subtitlecat.com/subs/144/Oceans.Eleven.2001.1080p.BluRay.x264-HDEX.ENG.html
49,The Tuxedo,"$50,449,608","3,022","$50,547,998",Sep 27,DreamWorks Distribution,The Tuxedo subtitles cat,https://subtitlecat.com/subs/581/The.Tuxedo.2002.1080p.WEBRip.x265-RARBG.html
50,Two Weeks Notice,"$50,201,319","2,755","$93,354,851",Dec 20,Warner Bros.,Two Weeks Notice subtitles cat,https://www.subtitlecat.com/subs/82/Two.Weeks.Notice.2002.720p.BluRay.X264-AMIABLE.html
51,Return to Never Land,"$48,430,258","2,626","$48,430,258",Feb 15,Walt Disney Studios Motion Pictures,Return to Never Land subtitles cat,https://www.subtitlecat.com/subs/7/Peter%20Pan%20II%20Return%20to%20Neverland%202002%20BluRay%201080p%20DD5.1%20H265-d3g.html
