Rank,Release,Gross,Theaters,Total Gross,Release Date,Distributor,search key,download URL
170,Spider-Man/Men in Black II,,,,,,Spider-Man/Men in Black II subtitles cat,
Double Bill,,,,,,, subtitles cat,
"$6,632,970","2,078","$6,632,970",Sep 6,Sony Pictures Releasing,,,2078 subtitles cat,
171,Femme Fatale,"$6,630,252","1,066","$6,630,252",Nov 6,Warner Bros.,Femme Fatale subtitles cat,
172,The Rules of Attraction,"$6,529,218","1,437","$6,532,619",Oct 11,Lionsgate,The Rules of Attraction subtitles cat,
173,Impostor,"$6,285,176","1,870","$6,285,176",Jan 4,Miramax,Impostor subtitles cat,
174,Deuces Wild,"$6,080,065","1,480","$6,080,065",May 3,Metro-Goldwyn-Mayer (MGM),Deuces Wild subtitles cat,
175,Iris,"$5,571,473",220,"$5,594,617",Dec 14,Miramax,Iris subtitles cat,
176,Spirited Away,"$5,384,953",714,"$10,055,859",Sep 20,Walt Disney Studios Motion Pictures,Spirited Away subtitles cat,
177,The Truth About Charlie,"$5,350,371",755,"$5,350,371",Oct 25,Universal Pictures,The Truth About Charlie subtitles cat,
178,Slackers,"$5,285,941","1,893","$5,285,941",Feb 1,Sony Pictures Releasing,Slackers subtitles cat,
179,Formula 51,"$5,204,007","1,857","$5,204,007",Oct 18,Screen Gems,Formula 51 subtitles cat,
180,Real Women Have Curves,"$5,165,916",163,"$5,853,194",Oct 18,Newmarket Films,Real Women Have Curves subtitles cat,
181,Birthday Girl,"$5,142,576","1,000","$5,142,576",Feb 1,Miramax,Birthday Girl subtitles cat,
182,Hollywood Ending,"$4,850,753",772,"$4,850,753",May 3,DreamWorks Distribution,Hollywood Ending subtitles cat,
183,Extreme Ops,"$4,775,724","1,800","$4,842,259",Nov 27,Paramount Pictures,Extreme Ops subtitles cat,
184,Igby Goes Down,"$4,706,595",156,"$4,777,465",Sep 13,Metro-Goldwyn-Mayer (MGM),Igby Goes Down subtitles cat,
185,Adaptation.,"$4,551,555",672,"$22,498,520",Dec 6,Sony Pictures Releasing,Adaptation. subtitles cat,
186,Italian for Beginners,"$4,544,753",99,"$4,544,753",Jan 18,Miramax,Italian for Beginners subtitles cat,
187,The Adventures of Pluto Nash,"$4,420,080","2,320","$4,420,080",Aug 16,Warner Bros.,The Adventures of Pluto Nash subtitles cat,
188,Lantana,"$4,338,191",108,"$4,623,189",Dec 14,Lionsgate,Lantana subtitles cat,
189,Enigma,,,,,,Enigma subtitles cat,
Original Release,,,,,,, subtitles cat,
"$4,301,582",115,"$4,301,582",Apr 19,Manhattan Pictures International,,,115 subtitles cat,
190,The Crime of Padre Amaro,"$4,293,774",137,"$5,717,044",Nov 15,IDP Distribution,The Crime of Padre Amaro subtitles cat,
191,The Other Side of Heaven,"$4,272,708",306,"$4,720,371",Dec 14,Excel Entertainment,The Other Side of Heaven subtitles cat,
192,Séraphin: Heart of Stone,"$4,265,443",123,"$6,749,187",Nov 29,Alliance Atlantis Vivafilm,Séraphin: Heart of Stone subtitles cat,
193,Men with Brooms,"$4,245,870",207,"$4,245,870",Mar 8,Artisan Entertainment,Men with Brooms subtitles cat,
194,Lovely & Amazing,"$4,222,923",175,"$4,222,923",Jun 28,Lionsgate,Lovely & Amazing subtitles cat,
195,Ultimate X: The Movie,"$4,197,492",48,"$4,197,492",May 10,Walt Disney Studios Motion Pictures,Ultimate X: The Movie subtitles cat,
196,Mostly Martha,"$4,133,232",143,"$4,160,475",Aug 16,Paramount Classics,Mostly Martha subtitles cat,
197,Secretary,"$3,843,970",149,"$4,059,680",Sep 20,Lionsgate,Secretary subtitles cat,
198,Antwone Fisher,"$3,671,337","1,021","$21,078,145",Dec 19,Fox Searchlight Pictures,Antwone Fisher subtitles cat,
199,T-Rex: Back to the Cretaceous,"$3,337,927",38,"$53,354,743",Oct 23,IMAX,T-Rex: Back to the Cretaceous subtitles cat,
200,13 Conversations About One Thing,"$3,288,164",68,"$3,288,164",May 24,Sony Pictures Classics,13 Conversations About One Thing subtitles cat,
