rank,title,gross,theaters,total gross,release date,distributor,download URL
18,Dodgeball: A True Underdog Story,"$114,326,736.00","$3,020.00","$114,326,736.00",Jun 18,Twentieth Century Fox,https://subtitlecat.com/subs/290/Dodgeball%20A%20True%20Underdog%20Story%20%202004.html
19,The Village,"$114,197,520.00","$3,733.00","$114,197,520.00",Jul 30,Walt Disney Studios Motion Pictures,https://subtitlecat.com/subs/837/The%20Village%202004.html
20,The Grudge,"$110,359,362.00","$3,348.00","$110,359,362.00",Oct 22,Sony Pictures Releasing,https://www.subtitlecat.com/subs/742/The%20Grudge%20%282004%29.html
21,Collateral,"$101,005,703.00","$3,205.00","$101,005,703.00",Aug 6,DreamWorks Distribution,https://www.subtitlecat.com/subs/21/Collateral.2004.1080p.BluRay.H264.AAC-RARBG.html
22,Ocean's Twelve,"$100,416,657.00","$3,290.00","$125,544,280.00",Dec 10,Warner Bros.,https://www.subtitlecat.com/subs/27/Oceans%20Twelve%202004.720p.BrRip.YIFY.html
23,The Princess Diaries 2: Royal Engagement,"$95,170,481.00","$3,490.00","$95,170,481.00",Aug 11,Walt Disney Studios Motion Pictures,https://subtitlecat.com/subs/593/The.Princess.Diaries.2.Royal.Engagement.2004.1080p.BluRay.x264-%5BYTS.MX%5D-English.html
24,Starsky & Hutch,"$88,237,754.00","$3,185.00","$88,237,754.00",Mar 5,Warner Bros.,https://www.subtitlecat.com/subs/293/Starsky%20and%20Hutch%202004.html
25,Along Came Polly,"$88,097,164.00","$3,052.00","$88,097,164.00",Jan 16,Universal Pictures,https://www.subtitlecat.com/subs/86/Along.Came.Polly.2004.720p.BrRip.x264.YIFY.html
26,Mean Girls,"$86,058,055.00","$3,054.00","$86,058,055.00",Apr 30,Paramount Pictures,https://www.subtitlecat.com/subs/81/Mean%20Girls%20%282004%29_en.html
27,Anchorman: The Legend of Ron Burgundy,"$85,288,303.00","$3,104.00","$85,288,303.00",Jul 9,DreamWorks Distribution,https://subtitlecat.com/subs/52/Anchorman.The.Legend.Of.Ron.Burgundy.2004.1080p.BrRip.x264.BOKUTOX.YIFY.html
28,A Series of Unfortunate Events,"$84,757,072.00","$3,623.00","$118,634,549.00",Dec 17,Paramount Pictures,https://www.subtitlecat.com/subs/329/A.Series.of.Unfortunate.Events.2004.1080p.BluRay.H264.AAC-RARBG.en.html
29,Scooby-Doo 2: Monsters Unleashed,"$84,216,833.00","$3,312.00","$84,216,833.00",Mar 26,Warner Bros.,https://www.subtitlecat.com/subs/729/Scooby-Doo.2.Monsters.Unleashed.2004.1080p.BluRay.x264-SEMTEX-HI.html
30,Cheaper by the Dozen,"$82,995,800.00","$3,307.00","$138,614,544.00",Dec 25,Twentieth Century Fox,https://www.subtitlecat.com/subs/166/Cheaper.by.the.Dozen.2003.html
31,The SpongeBob SquarePants Movie,"$81,106,338.00","$3,307.00","$85,417,988.00",Nov 19,Paramount Pictures,https://www.subtitlecat.com/subs/798/SpongeBob.SquarePants%20eng.html
32,The Notebook,"$81,001,255.00","$2,323.00","$81,001,787.00",Jun 25,New Line Cinema,https://subtitlecat.com/subs/186/The.Notebook.2004.1080p.BluRay.x264.YIFY.html
33,Alien vs. Predator,"$80,282,231.00","$3,401.00","$80,282,231.00",Aug 13,Twentieth Century Fox,https://www.subtitlecat.com/subs/481/Alien.vs.Predator.2004.html
34,Man on Fire,"$77,911,774.00","$2,986.00","$77,911,774.00",Apr 21,Twentieth Century Fox,https://www.subtitlecat.com/subs/154/Man.On.Fire.2004.1080p.BluRay.H264.AAC-RARBG.html
35,The Terminal,"$77,872,883.00","$2,914.00","$77,872,883.00",Jun 18,DreamWorks Distribution,https://www.subtitlecat.com/subs/38/The.Terminal.2004.720p.BluRay.x264.YIFY.html
36,Garfield: The Movie,"$75,369,589.00","$3,150.00","$75,369,589.00",Jun 11,Twentieth Century Fox,https://subtitlecat.com/subs/747/Garfield.The.Movie.2004.1080p.WEB.h264-NGP.html
37,Ladder 49,"$73,740,094.00","$3,261.00","$74,541,707.00",Oct 1,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/862/Ladder.49.2004.1080p.BrRip.x264.YIFY.eng.html
38,Christmas with the Kranks,"$72,095,903.00","$3,416.00","$73,780,539.00",Nov 24,Revolution Studios,https://www.subtitlecat.com/subs/178/Christmas.With.The.Kranks.2004.1080p.WEBRip.x264.AAC5.1-%5BYTS.MX%5D.html
39,Ray,"$71,278,355.00","$2,474.00","$75,331,600.00",Oct 29,Universal Pictures,https://www.subtitlecat.com/subs/91/Ray.2004.1080p.BluRay.x264.YIFY.html
40,White Chicks,"$70,831,760.00","$2,800.00","$70,831,760.00",Jun 23,Sony Pictures Releasing,https://subtitlecat.com/subs/194/White.Chicks.2004.1080p.WEBRip.x264.AC3-ETRG.html
41,Cold Mountain,"$67,581,356.00","$2,802.00","$95,636,509.00",Dec 25,Miramax,https://subtitlecat.com/subs/512/Cold.Mountain.2003.1080p.BluRay.x265-RARBG.html
42,Hidalgo,"$67,303,450.00","$3,065.00","$67,303,450.00",Mar 5,Walt Disney Studios Motion Pictures,https://subtitlecat.com/subs/112/Hidalgo.2004.BluRay.1080p.x264.YIFY-EN.html
43,The Forgotten,"$67,133,509.00","$3,144.00","$67,133,509.00",Sep 24,Revolution Studios,https://www.subtitlecat.com/subs/1085/The.Forgotten.2004.1080p.BluRay.H264.AAC-RARBG-English.html
44,Kill Bill: Vol. 2,"$66,211,165.00","$3,073.00","$66,208,183.00",Apr 16,Miramax,https://www.subtitlecat.com/subs/150/Kill.Bill.Vol.2.2004.1080p.BrRip.x264.YIFY.html
45,The Manchurian Candidate,"$65,955,630.00","$2,867.00","$65,955,630.00",Jul 30,Paramount Pictures,https://subtitlecat.com/subs/194/The.Manchurian.Candidate.2004.720p.BluRay.H264.AAC-RARBG.html
46,Barbershop 2: Back in Business,"$65,111,277.00","$2,711.00","$65,111,277.00",Feb 6,Metro-Goldwyn-Mayer (MGM),https://www.subtitlecat.com/subs/419/Barbershop.2.Back.In.Business.2004.720p.BluRay.x264-%5BYTS.AM%5D-eng.html
47,Miracle,"$64,378,093.00","$2,755.00","$64,378,093.00",Feb 6,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/165/Miracle.2004.720p.BrRip.x264.YIFY.en.html
48,Big Fish,"$61,844,175.00","$2,514.00","$66,809,693.00",Dec 10,Sony Pictures Releasing,https://www.subtitlecat.com/subs/33/Big.Fish.2003.1080p.BluRay.H264.AAC-RARBG-.html
49,Friday Night Lights,"$61,255,921.00","$3,004.00","$61,255,921.00",Oct 8,Universal Pictures,https://www.subtitlecat.com/subs/80/Friday.Night.Lights.2004-EN.html
50,Hellboy,"$59,623,958.00","$3,043.00","$59,623,958.00",Apr 2,Revolution Studios,https://www.subtitlecat.com/subs/62/Hellboy.2004.1080p.BrRip.x264.YIFY.html
51,Something's Gotta Give,"$59,497,973.00","$2,876.00","$124,728,738.00",Dec 12,Sony Pictures Releasing,https://www.subtitlecat.com/subs/366/Somethings.Gotta.Give.2003.720p.HDTV.DD5.1.x264-EbP.english.html
52,The Stepford Wives,"$59,484,742.00","$3,057.00","$59,484,742.00",Jun 11,Paramount Pictures,https://www.subtitlecat.com/subs/132/The.Stepford.Wives.2004..html
53,Dawn of the Dead,"$59,020,957.00","$2,748.00","$59,020,957.00",Mar 19,Universal Pictures,https://www.subtitlecat.com/subs/24/Dawn.of.the.Dead.2004.DC.REMASTERED.1080p.BluRay.H264.AAC-RARBG-en.html
54,Without a Paddle,"$58,085,096.00","$2,756.00","$58,169,327.00",Aug 20,Paramount Pictures,https://subtitlecat.com/subs/543/Without.A.Paddle.2004.1080p.BluRay.H264.AAC-RARBGUnd.html
55,The Butterfly Effect,"$57,939,826.00","$2,605.00","$57,938,693.00",Jan 23,New Line Cinema,https://www.subtitlecat.com/subs/141/The.Butterfly.Effect.2004.720p.BluRay.x264-SiNNERS.html
56,The Chronicles of Riddick,"$57,761,012.00","$2,757.00","$57,761,012.00",Jun 11,Universal Pictures,https://subtitlecat.com/subs/584/The.Chronicles.of.Riddick.2004.DC.1080p.BluRay.x265-RARBG.html
57,13 Going on 30,"$57,231,747.00","$3,453.00","$57,231,747.00",Apr 23,Revolution Studios,https://www.subtitlecat.com/subs/829/13.Going.On.30.2004.1080p.Eng.html
58,Shall We Dance?,"$57,004,141.00","$2,542.00","$57,890,460.00",Oct 15,Miramax,https://subtitlecat.com/subs/368/Shall.We.Dance.2004.720p.BrRip.x264.BOKUTOX.YIFY.html
59,Saw,"$55,185,045.00","$2,467.00","$55,185,045.00",Oct 29,Lionsgate,https://subtitlecat.com/subs/803/Saw.2004.Directors.Cut.2160p.UHD.BluRa.html
60,Hero,"$53,707,388.00","$2,175.00","$53,710,019.00",Aug 27,Miramax,https://subtitlecat.com/subs/183/Hero.2002.DC.CHINESE.1080p.BluRay.H264.AAC-VXT.html
61,King Arthur,"$51,882,244.00","$3,086.00","$51,882,244.00",Jul 7,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/795/King.Arthur.2004.DiRECTORS.CUT.1080p.BluRay.H264.AAC-RBG.html
62,A Cinderella Story,"$51,438,175.00","$2,625.00","$51,438,175.00",Jul 16,Warner Bros.,https://www.subtitlecat.com/subs/606/A%20Cinderella%20Story%20-%202004.en.html
63,Resident Evil: Apocalypse,"$51,201,453.00","$3,284.00","$51,201,453.00",Sep 10,Screen Gems,https://www.subtitlecat.com/subs/5/Resident%20Evil%20Apocalypse%20%282004%29.EN.html
64,Home on the Range,"$50,030,461.00","$3,058.00","$50,030,461.00",Apr 2,Walt Disney Studios Motion Pictures,https://subtitlecat.com/subs/455/Home%20on%20the%20Range-English.html
65,Secret Window,"$48,022,900.00","$3,018.00","$48,022,900.00",Mar 12,Sony Pictures Releasing,https://www.subtitlecat.com/subs/57/Secret.Window.2004.720p.BluRay.x264.YIFY.html
66,Walking Tall,"$46,437,717.00","$2,836.00","$46,437,717.00",Apr 2,Metro-Goldwyn-Mayer (MGM),https://www.subtitlecat.com/subs/230/Walking.Tall.2004.720p.BrRip.html
67,Blade: Trinity,"$45,688,172.00","$2,912.00","$52,411,906.00",Dec 8,New Line Cinema,https://www.subtitlecat.com/subs/148/Blade.Trinity.2004.1080p.BluRay.x264.YIFY.html
68,Napoleon Dynamite,"$44,374,626.00","$1,027.00","$44,540,956.00",Jun 11,Fox Searchlight Pictures,https://www.subtitlecat.com/subs/415/Napoleon.Dynamite.2004.html
69,Exorcist: The Beginning,"$41,821,986.00","$2,813.00","$41,821,986.00",Aug 20,Warner Bros.,https://www.subtitlecat.com/subs/36/Exorcist.The.Beginning.2004.BRRip.XviD.AC3-ETRG.html
70,You Got Served,"$40,363,810.00","$1,943.00","$40,363,810.00",Jan 30,Screen Gems,https://subtitlecat.com/subs/434/You%20Got%20Served%20%282004%29%20%5BBluRay%5D%20%5B1080p%5D%20%5BYTS%5D%20%5BYIFY%5D.html
71,Catwoman,"$40,202,379.00","3,117","$40,202,379.00",Jul 23,Warner Bros.,https://www.subtitlecat.com/subs/27/Catwoman.2004.720p.BluRay.H264.AAC-RARBG.html
72,The Ladykillers,"$39,799,191.00","1,589","$39,799,191.00",Mar 26,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/10/The.LadyKillers.2004.720p.iNTERNAL.HDTV.x264-DEADPOOL.html
73,Bridget Jones: The Edge of Reason,"$39,778,585.00","$2,473.00","$40,226,215.00",Nov 12,Universal Pictures,https://www.subtitlecat.com/subs/691/Bridget%20Jones.%20Edge%20of%20Reason.%20Songs.html
74,Sky Captain and the World of Tomorrow,"$37,762,677.00","$3,170.00","$37,762,677.00",Sep 17,Paramount Pictures,https://subtitlecat.com/subs/300/Sky.Captain.And.The.World.Of.Tomorrow.2004.1080p.BluRay.x265-RARBG.html
75,Raising Helen,"$37,486,512.00","$2,721.00","$37,486,512.00",May 28,Walt Disney Studios Motion Pictures,https://subtitlecat.com/subs/274/Raising.Helen.2004.1080p.WEBRip.x264-RARBG2_English.html
76,Mystic River,"$36,369,586.00","$1,581.00","$90,135,191.00",Oct 8,Warner Bros.,https://www.subtitlecat.com/subs/919/Mystic.River.2003.1080p.BluRay.x264.YIFY.html
78,Eternal Sunshine of the Spotless Mind,"$34,400,739.00","$1,357.00","$34,400,301.00",Mar 19,Focus Features,https://www.subtitlecat.com/subs/8/Eternal.Sunshine.of.the.Spotless.Mind.2004.720p.BrRip.x264.BOKUTOX.YIFY.html
79,Monster,"$34,310,570.00","$1,093.00","$34,469,210.00",Dec 24,Newmarket Films,https://subtitlecat.com/subs/84/Monster.2003.1080p.BluRay.x264-[YTS.AM].html
80,Alexander,"$33,963,605.00","$2,445.00","$34,297,191.00",Nov 24,Warner Bros.,https://www.subtitlecat.com/subs/618/Alexander%202004%20E.html
81,The Punisher,"$33,812,504.00","$2,649.00","$33,810,189.00",Apr 16,Lionsgate,https://www.subtitlecat.com/subs/122/The.Punisher.2004.720p.BluRay.H264.AAC-RARBG-eng.html
82,Team America: World Police,"$32,736,542.00","$2,620.00","$32,786,074.00",Oct 15,Paramount Pictures,https://subtitlecat.com/subs/769/Team.America.World.Police.2004.1080p.BluRay.x264-%5BYTS.LT%5D.html
83,Taking Lives,"$32,682,342.00","$2,705.00","$32,682,342.00",Mar 19,Warner Bros.,https://subtitlecat.com/subs/67/Taking.Lives.UNRATED.Directors.Cut.2004.1080p.BrRip.x264.YIFY.html
84,Anacondas: The Hunt for the Blood Orchid,"$32,238,923.00","$2,905.00","$32,238,923.00",Aug 27,Screen Gems,https://www.subtitlecat.com/subs/182/Anacondas.The.Hunt.For.The.Blood.Orchid.2004.1080p.BluRay.H264.AAC-RARBG.html
85,Cellular,"$32,005,186.00","$2,763.00","$32,003,620.00",Sep 10,New Line Cinema,https://www.subtitlecat.com/subs/14/Cellular.2004.720p.BluRay.x264.YIFY.html
86,The Last Samurai,"$31,404,757.00","$2,938.00","$111,127,263.00",Dec 5,Warner Bros.,https://www.subtitlecat.com/subs/7/The.Last.Samurai.2003.BDRip.AVC.AC3.DTS.html
87,Johnson Family Vacation,"$31,203,964.00","$1,326.00","$31,203,964.00",Apr 7,Fox Searchlight Pictures,https://www.subtitlecat.com/subs/273/Johnson.Family.Vacation.2004.720p.BluRay.x264-VETO-English.html
88,Open Water,"$30,612,360.00","$2,709.00","$30,610,863.00",Aug 6,Lionsgate,https://www.subtitlecat.com/subs/115/Open.Water.2003.720p.BluRay.x264-%5BYTS.AG%5D.html
89,Calendar Girls,"$29,976,515.00",967,"$31,041,759.00",Dec 19,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/22/Calendar%20Girls%20%282003%29%20720p%20WEB-DL.en.html
90,Confessions of a Teenage Drama Queen,"$29,331,068.00","$2,503.00","$29,331,068.00",Feb 20,Walt Disney Studios Motion Pictures,https://subtitlecat.com/subs/194/Confessions.Of.A.Teenage.Drama.Queen.2004.1080p.WEBRip.x264.AAC5.1-%5BYTS.MX%5D.html
91,Paycheck,"$28,768,374.00","$2,762.00","$53,790,451.00",Dec 25,Paramount Pictures,https://www.subtitlecat.com/subs/5/Paycheck.2003.720p.BrRip.x264.YIFY.html
92,The Prince and Me,"$28,176,497.00","$2,711.00","$28,176,497.00",Apr 2,Paramount Pictures,https://www.subtitlecat.com/subs/222/The.Prince.And.Me.2004.1080p.BluRay.x264-PFa.html
93,After the Sunset,"$28,064,533.00","$2,819.00","$28,331,233.00",Nov 12,New Line Cinema,https://www.subtitlecat.com/subs/421/After.the.Sunset.2004.720p.BluRay.x264.%5BYTS.MX%5D-English.html
94,Garden State,"$26,745,860.00",$813.00,"$26,782,316.00",Jul 28,Fox Searchlight Pictures,https://www.subtitlecat.com/subs/55/Garden.State.2004.1080p.BluRay.H264.AAC-RARBG.html
95,Spanglish,"$26,486,622.00","$2,587.00","$42,726,869.00",Dec 17,Sony Pictures Releasing,https://subtitlecat.com/subs/8/Spanglish.2004.720p.BluRay.x264-%5BYTS.AG%5D.html
96,Peter Pan,"$26,351,143.00","$2,813.00","$48,462,608.00",Dec 25,Universal Pictures,https://www.subtitlecat.com/subs/10/Peter.Pan.2003.720p.BluRay.x264-ESiR.eng.html
97,Fat Albert,"$26,180,374.00","$2,744.00","$48,116,322.00",Dec 25,Twentieth Century Fox,https://subtitlecat.com/subs/176/Fat.Albert.2004.1080p.WEBRip.x264-RARBG.html
98,Closer,"$25,757,869.00","1,098","$33,987,757.00",Dec 3,Sony Pictures Releasing,https://www.subtitlecat.com/subs/65/Closer.2004.720p.BluRay.x264.YIFY.eng.html
99,Jersey Girl,"$25,293,276.00","$1,821.00","$25,268,157.00",Mar 26,Miramax,https://www.subtitlecat.com/subs/621/Jersey%20Girl%20%282004%29.eng.html
100,Mona Lisa Smile,"$25,266,797.00","$2,714.00","$63,860,942.00",Dec 19,Revolution Studios,https://www.subtitlecat.com/subs/15/Mona.Lisa.Smile.eng.html
101,Twisted,"$25,198,598.00","$2,704.00","$25,198,598.00",Feb 27,Paramount Pictures,https://www.subtitlecat.com/subs/208/Twisted.2004.1080p.WEBRip.x264.AAC5.1-%5BYTS.MX%5D.html
102,The Aviator,"$24,088,726.00","$2,530.00","$102,610,330.00",Dec 17,Miramax,https://www.subtitlecat.com/subs/75/The.Aviator.2004.1080p.BrRip.x264.YIFY.html
103,Around the World in 80 Days,"$24,008,137.00","$2,801.00","$24,008,137.00",Jun 16,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/371/Around.The.World.In.80.Days.2004.1080p.BluRay.x264.AAC5.1-%5BYTS.MX%5D-eng.html
104,Agent Cody Banks 2: Destination London,"$23,630,159.00","$2,973.00","$23,630,159.00",Mar 12,Metro-Goldwyn-Mayer (MGM),https://www.subtitlecat.com/subs/22/Agent.Cody.Banks.2.Destination.London.2004.1080p.BluRay.H264.AAC-RARBG.html
105,Ella Enchanted,"$22,948,987.00","$2,149.00","$22,918,387.00",Apr 9,Miramax,https://subtitlecat.com/subs/728/Ella.Enchanted.2004.1080p.YAS.Eng.html
106,Finding Neverland,"$22,675,510.00","$1,411.00","$51,680,613.00",Nov 12,Miramax,https://subtitlecat.com/subs/550/Finding.Neverland.2004.720p.BrRip.x264.BOKUTOX.YIFY%20eng.SRT.html
107,The Alamo,"$22,414,961.00","$2,609.00","$22,414,961.00",Apr 9,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/352/The.Alamo.2004.html
108,Mr. 3000,"$21,811,187.00","$2,736.00","$21,811,187.00",Sep 17,Walt Disney Studios Motion Pictures,null
109,Torque,"$21,215,059.00","$2,463.00","$21,215,059.00",Jan 16,Warner Bros.,https://www.subtitlecat.com/subs/37/Torque.2004.720p.BluRay.x264.YIFY.html
110,Sideways,"$20,868,408.00","$1,786.00","$71,503,593.00",Oct 22,Fox Searchlight Pictures,https://subtitlecat.com/subs/269/Southland%20-%2003x07%20-%20Sideways.720p.WebDL.AVC-DON.English.HI.C.orig.Addic7ed.com.html
111,Little Black Book,"$20,698,668.00","2,445","$20,698,668.00",Aug 6,Revolution Studios,https://www.subtitlecat.com/subs/204/Little.Black.Book.2004.720p.WEBRip.x264.AAC-%5BYTS.MX%5D.html
112,Yu-Gi-Oh!: The Movie,"$19,765,868.00","$2,411.00","$19,765,868.00",Aug 13,Warner Bros.,null
113,NASCAR: The IMAX Experience,"$19,541,074.00",$73.00,"$21,583,831.00",Mar 12,Warner Bros.,null
114,Two Brothers,"$19,176,754.00","2,181","$19,176,754.00",Jun 25,Universal Pictures,null
115,Harold & Kumar Go to White Castle,"$18,249,648.00","$2,163.00","$18,250,550.00",Jul 30,New Line Cinema,https://www.subtitlecat.com/subs/107/Harold.and.Kumar.Go.to.White.Castle.2004.720p.BluRay.AC3.x264-NCmt.eng.html
116,Laws of Attraction,"$17,795,140.00","$2,449.00","$17,871,255.00",Apr 30,New Line Cinema,https://www.subtitlecat.com/subs/47/Laws%20Of%20Attraction%202004%201080p%20EN.html
117,EuroTrip,"$17,771,387.00","$2,544.00","$17,771,387.00",Feb 20,DreamWorks Distribution,https://www.subtitlecat.com/subs/15/Euro.Trip.2004.720p.Br.YIFY.html
118,My Baby's Daddy,"$17,669,609.00","$1,448.00","$17,669,317.00",Jan 9,Miramax,null
119,Seed of Chucky,"$17,083,364.00","$2,062.00","$17,083,732.00",Nov 12,Rogue Pictures,https://www.subtitlecat.com/subs/751/Seed.of.Chucky.2004.720p.BluRay.x264.%5BYTS.MX%5D-English.html
120,Win a Date with Tad Hamilton!,"$17,071,962.00","$2,808.00","$17,071,962.00",Jan 23,DreamWorks Distribution,https://www.subtitlecat.com/subs/172/Win.A.Date.With.Tad.Hamilton%21.2004.720p.BluRay.x264.AAC-%5BYTS.MX%5D.html
121,Wimbledon,"$17,001,133.00","$2,039.00","$17,001,133.00",Sep 17,Universal Pictures,https://www.subtitlecat.com/subs/58/Wimbledon.2004.1080p.BluRay.x264.YIFY.html
122,Catch That Kid,"$16,703,799.00","$2,848.00","$16,703,799.00",Feb 6,Twentieth Century Fox,null
123,The Whole Ten Yards,"$16,328,471.00","$2,654.00","$16,328,471.00",Apr 9,Warner Bros.,https://www.subtitlecat.com/subs/795/The.Whole.Ten.Yards.2004.720p.BluRay.x264.%20YTS.MX-Greek.html
124,Vanity Fair,"$16,134,657.00","1,054","$16,136,476.00",Sep 1,Focus Features,https://www.subtitlecat.com/subs/46/Vanity.Fair.2004.720p.BluRay.x264-%5BYTS.AM%5D-eng.html
125,Paparazzi,"$15,714,234.00","$2,153.00","$15,714,234.00",Sep 3,Twentieth Century Fox,https://www.subtitlecat.com/subs/161/Paparazzi.2004.720p.WEB-DL.DD5.1.H264-FGT.html
126,The Motorcycle Diaries,"$15,575,375.00",$272.00,"$16,781,387.00",Sep 24,Focus Features,https://www.subtitlecat.com/subs/98/The%20Motorcycle%20Diaries%202004%20720p%20HDDVD_sujaidr-spa.html
127,The Girl Next Door,"$14,589,444.00","$2,148.00","$14,589,444.00",Apr 9,Twentieth Century Fox,https://subtitlecat.com/subs/61/The.Girl.Next.Door.2004.720p.BluRay.x264-AVS720.html
128,Flight of the Phoenix,"$14,559,140.00","$2,604.00","$21,009,180.00",Dec 17,Twentieth Century Fox,https://www.subtitlecat.com/subs/609/Flight.Of.The.Phoenix.2004.1080p.BluRay.x264.AAC5.1-%5BYTS.MX%5D.html
129,Welcome to Mooseport,"$14,470,947.00","2,868","$14,470,947.00",February 20,Twentieth Century Fox,https://www.subtitlecat.com/subs/38/Welcome.To.Mooseport.2004.1080p.AMZN.WEBRip.DD5.1.x264-monkee.eng.html
130,Godsend,"$14,378,469.00","$2,323.00","$14,379,751.00",Apr 30,Lionsgate,https://www.subtitlecat.com/subs/448/Godsend.2004.1080p.BluRay.x264-%5BYTS.LT%5D-Spanish.html
131,Soul Plane,"$14,190,750.00","$1,566.00","$14,190,750.00",May 28,Metro-Goldwyn-Mayer (MGM),https://subtitlecat.com/subs/980/Soul.Plane.2004.720p.BluRay.x264.YIFY.html
132,Dirty Dancing: Havana Nights,"$14,161,656.00","2,042","$14,161,590.00",Feb 27,Lionsgate,https://www.subtitlecat.com/subs/28/Dirty.Dancing.Havana.Nights.2004.1080p.BrRip.x264.YIFY.html
133,New York Minute,"$14,071,441.00","3,006","$14,071,441.00",May 7,Warner Bros.,https://www.subtitlecat.com/subs/311/New.York.Minute.2004.1080p.WEBRip.x265-RARBG.html
134,Lost in Translation,"$13,614,949.00",$882.00,"$44,585,453.00",Sep 12,Focus Features,https://www.subtitlecat.com/subs/96/Lost%20in%20Translation%202003%20BluRay%201080p%20DTS%20x264-CHD-UPL.html
135,Envy,"$13,598,653.00","2,445","$13,562,325.00",Apr 30,DreamWorks Distribution,https://www.subtitlecat.com/subs/6/Envy.2004.HDTV.720p-NoGrp.html
136,Shaun of the Dead,"$13,542,662.00",$675.00,"$13,671,664.00",Sep 24,Rogue Pictures,https://www.subtitlecat.com/subs/112/Shaun%20of%20the%20Dead%20%282004%29.html
137,De-Lovely,"$13,456,633.00",$410.00,"$13,456,633.00",Jul 2,United Artists,null
138,Alfie,"$13,381,998.00","2,215","$13,399,812.00",Nov 5,Paramount Pictures,https://www.subtitlecat.com/subs/148/ALFIE%20%202004.html
