rank,title,gross,theaters,total gross,release date,distributor,download URL
1,Shrek 2,"$441,226,247.00","$4,223.00","$441,550,292.00",May 19,DreamWorks Distribution,https://www.subtitlecat.com/subs/142/02%20Shrek%202%20-%20Animation%202004%20English.html
2,Spider-Man 2,"$373,585,825.00","$4,166.00","$373,585,825.00",Jun 30,Sony Pictures Releasing,https://www.subtitlecat.com/subs/454/Spider-Man%202%202004.html
3,The Passion of the Christ,"$370,274,604.00","$3,408.00","$370,274,604.00",Feb 25,Newmarket Films,https://www.subtitlecat.com/subs/8/The.Passion.of.the.Christ.2004.720p.BrRip.x264.YIFY.html
4,Harry Potter and the Prisoner of Azkaban,"$249,541,069.00","$3,855.00","$249,541,069.00",-,Warner Bros.,https://www.subtitlecat.com/subs/34/Harry%20Potter%20and%20the%20Prisoner%20of%20Azkaban.html
5,The Incredibles,"$248,939,765.00","$3,933.00","$261,441,092.00",Nov 5,Walt Disney Studios Motion Pictures,https://subtitlecat.com/subs/481/The%20Incredibles%201%20%282004%29.English.html
6,The Day After Tomorrow,"$186,740,799.00","$3,444.00","$186,740,799.00",May 28,Twentieth Century Fox,https://www.subtitlecat.com/subs/215/The.Day.After.Tomorrow.2004.English.html
7,The Bourne Supremacy,"$176,241,941.00","$3,304.00","$176,241,941.00",Jul 23,Universal Pictures,https://www.subtitlecat.com/subs/246/The.Bourne.Supremacy.2004.1080p.BluRay.H264.AAC-RARBG.html
8,Shark Tale,"$160,531,869.00","$4,070.00","$160,861,908.00",Oct 1,DreamWorks Distribution,https://www.subtitlecat.com/subs/223/Shark%20Tale.English.html
9,The Polar Express,"$151,621,905.00","$3,650.00","$162,775,358.00",-,Warner Bros.,https://www.subtitlecat.com/subs/0/Polar.Express.2004.720p.BrRip.x264.YIFY.html
10,National Treasure,"$150,121,985.00","$3,243.00","$173,008,894.00",Nov 19,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/1124/National.Treasure.2004.720p.BluRay.x264.YIFY-English.html
11,"I, Robot","$144,801,023.00","$3,494.00","$144,801,023.00",Jul 16,Twentieth Century Fox,https://www.subtitlecat.com/subs/24/I.Robot.2004.1080.BrRip.x264.YIFY.html
12,Troy,"$133,378,256.00","$3,411.00","$133,378,256.00",May 14,Warner Bros.,https://www.subtitlecat.com/subs/403/Troy%20%282004%29%20Directors%20Cut%20BluRay%20AC3.DD5.1.H264.FHD.html
13,Meet the Fockers,"$132,859,765.00","$3,554.00","$279,261,160.00",Dec 22,Universal Pictures,https://subtitlecat.com/subs/739/Meet%20the%20Fockers%202004.html
14,The Lord of the Rings: The Return of the King,"$127,581,398.00","$3,703.00","$377,027,325.00",Dec 17,New Line Cinema,https://www.subtitlecat.com/subs/82/The%20Lord%20of%20the%20Rings%20The%20Return%20of%20the%20King%202003.html
15,50 First Dates,"$120,908,074.00","$3,612.00","$120,908,074.00",Feb 13,Sony Pictures Releasing,https://subtitlecat.com/subs/493/50.First.Dates.2004.1080p.BrRip.x264.YIFY.html
16,Van Helsing,"$120,177,084.00","$3,580.00","$120,177,084.00",May 7,Universal Pictures,https://www.subtitlecat.com/subs/666/Van.Helsing.2004.1080p.BrRip.x264.YIFY.html
17,Fahrenheit 911,"$119,200,156.00","$2,011.00","$119,194,771.00",Jun 23,Lionsgate,https://www.subtitlecat.com/subs/205/Fahrenheit.9.11.2004.1080p.WEBRip.x264.AAC5.1-%5BYTS.MX%5D.html
