rank,title,gross,theaters,total gross,release date,distributor,download URL
143,Brokeback Mountain,"$12,427,578","$2,089","$83,043,761",Dec 9,Focus Features,https://subtitlecat.com/subs/967/Brokeback.Mountain.2005.1080p.BluRay.REMUX.VC-1.DTS-HD.MA.5.1-EPSiLON.html
144,Munich,"$12,275,660","$1,498","$47,403,685",Dec 23,Universal Pictures,https://www.subtitlecat.com/subs/116/Munich.2005.1080p.BluRay.H264.AAC-RARBG.html
145,Capote,"$11,732,609","1,239","$28,750,530",Sep 30,Sony Pictures Classics,https://www.subtitlecat.com/subs/156/Capote.2005.720p.BrRip.x264.YIFY.html
146,Lords of Dogtown,"$11,273,517","1,865","$11,273,517",Jun 3,Sony Pictures Releasing,https://www.subtitlecat.com/subs/104/Lords.of.Dogtown.2005.1080p.Bluray.x264-USURY.html
147,The Polar Express,"$11,153,453","$3,650","$162,775,358",-,Warner Bros.,https://www.subtitlecat.com/subs/0/Polar.Express.2004.720p.BrRip.x264.YIFY.html
148,Wolf Creek,"$10,561,220","$1,761","$16,188,180",Dec 25,Dimension Films,https://www.subtitlecat.com/subs/128/Wolf.Creek.2005.720p.BluRay.x264.YIFY.html
149,In the Mix,"$10,223,896","1,608","$10,223,896",Nov 23,Lionsgate,https://www.subtitlecat.com/subs/122/In.the.Mix.2005.WEBRip.x264-RARBG.html
150,Domino,"$10,168,709","2,223","$10,169,202",Oct 14,New Line Cinema,https://www.subtitlecat.com/subs/32/Domino.2005.1080p.BrRip.x264.YIFY.html
151,The Great Raid,"$10,167,373",$920,"$10,167,373",Aug 12,Miramax,https://www.subtitlecat.com/subs/124/The.Great.Raid.%20%282005%29%20English.html
152,Shopgirl,"$10,063,697",$493,"$10,284,523",Oct 21,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/114/Shopgirl.2005.WEBRip.x264-RARBG-eng%281%29.html
153,Cry Wolf,"$10,047,616","$1,789","$10,047,674",Sep 16,Rogue Pictures,https://www.subtitlecat.com/subs/135/Cry.Wolf.2005.720p.BluRay.x264-%5BYTS.AM%5D.html
154,The Polar Express,"$9,643,722",66,"$10,900,597",Nov 23,Warner Bros.,https://www.subtitlecat.com/subs/0/Polar.Express.2004.720p.BrRip.x264.YIFY.html
155,Darkness,"$9,292,014","1,718","$22,163,442",Dec 25,Dimension Films,https://subtitlecat.com/subs/13/Darkness.html
156,The Producers,"$9,263,542",978,"$19,398,532",Dec 16,Universal Pictures,https://www.subtitlecat.com/subs/332/The.Producers.2005.720p.BluRay.X264-AMIABLE.html
157,The Ice Harvest,"$9,016,782","$1,555","$9,016,782",Nov 23,Focus Features,https://www.subtitlecat.com/subs/48/The%20Ice%20Harvest%20%202005%20eng.html
158,An Unfinished Life,"$8,584,261",888,"$8,586,392",Sep 9,Miramax,https://www.subtitlecat.com/subs/124/An.Unfinished.Life.2005.720p.BrRip.x264.YIFY.html
159,The Man,"$8,330,303","$2,040","$8,330,720",Sep 9,New Line Cinema,https://subtitlecat.com/subs/262/The.Man.2005.Web-Dl.720p.Ganool-English.html
160,Closer,"$8,229,888","$1,098","$33,987,757",Dec 3,Sony Pictures Releasing,https://www.subtitlecat.com/subs/65/Closer.2004.720p.BluRay.x264.YIFY.eng.html
161,Mad Hot Ballroom,"$8,046,040",202,"$8,117,961",May 13,Paramount Classics,null
162,Aliens of the Deep,"$7,535,409",27,"$8,968,684",Jan 28,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/149/Aliens.of.the.Deep.2005.720p.WEB-DL.HDCLUB.html
163,Proof,"$7,535,331",$517,"$7,535,331",Sep 16,Miramax,https://www.subtitlecat.com/subs/167/Proof%20%282005%29720p%20YIFY-En.html
164,House of Flying Daggers,"$7,485,627","1,189","$11,050,094",Dec 3,Sony Pictures Classics,https://www.subtitlecat.com/subs/295/House.of.Flying.Daggers.2004.1080p.BluRay.VC-1.DTS-HD.MA.5.1-FGT.Eng.html
165,Space Station 3D,"$7,483,064",$64,"$93,383,953",Apr 19,IMAX,https://subtitlecat.com/list_page.php?from=1536800
166,Ladies in Lavender,"$6,765,081",119,"$6,765,081",Apr 29,IDP Distribution,https://subtitlecat.com/subs/257/Ladies.In.Lavender.2004.1080p.WEBRip.x264.AAC5.1-%5BYTS.MX%5D.html
167,Bride & Prejudice,"$6,605,592",288,"$6,605,592",Feb 11,Miramax,https://subtitlecat.com/subs/66/Pride.%26.Prejudice.%282005%29.720p.Blu-Ray.H264.AC3.English.html
168,Millions,"$6,584,159",$340,"$6,584,159",Mar 11,Fox Searchlight Pictures,null
169,Flight of the Phoenix,"$6,450,040","$2,604","$21,009,180",Dec 17,Twentieth Century Fox,https://www.subtitlecat.com/subs/609/Flight.Of.The.Phoenix.2004.1080p.BluRay.x264.AAC5.1-%5BYTS.MX%5D.html
170,The Aristocrats,"$6,360,237",234,"$6,377,461",Jul 29,THINKFilm,https://www.subtitlecat.com/subs/1145/The.Aristocrats.2005.1080p.WEBRip.x264.AAC5.1-%5BYTS.MX%5D.html
171,The Jacket,"$6,303,762","$1,331","$6,303,762",Mar 4,Warner Independent Pictures (WIP),https://www.subtitlecat.com/subs/431/The.Jacket.2005.1080p.BluRay.2xRus.Eng.HDCLUB_track7_eng.html
172,Magnificent Desolation: Walking on the Moon,"$6,015,875",82,"$34,137,524",Sep 23,IMAX,null
173,Underclassman,"$5,656,612","1,132","$5,655,459",Sep 2,Miramax,https://www.subtitlecat.com/subs/239/Underclassman.2005.PROPER.1080p.WEBRip.x265.html
174,Blade: Trinity,"$5,579,963","$2,912","$52,411,906",Dec 8,New Line Cinema,https://www.subtitlecat.com/subs/148/Blade.Trinity.2004.1080p.BluRay.x264.YIFY.html
175,Downfall,"$5,509,040",$174,"$5,509,040",Feb 18,Newmarket Films,https://subtitlecat.com/subs/184/downfall-English.html
176,Beyond the Sea,"$5,307,776",$383,"$6,318,709",Dec 17,Lionsgate,https://subtitlecat.com/subs/562/Beyond.The.Sea.2004.1080p.BluRay.x265-RARBG.html
177,Alone in the Dark,"$5,178,569","2,124","$5,178,569",Jan 28,Lionsgate,https://subtitlecat.com/subs/151/Alone.in.the.Dark.2005.1080p.BluRay.H264.AAC-RARBG-eng.html
178,The Squid and the Whale,"$4,986,790",151,"$7,372,734",Oct 5,IDP Distribution,https://www.subtitlecat.com/subs/788/%5Bzmk.pw%5DThe.Squid.And.The.Whale.2005.XviD.AC3.CD2.Chs.html
179,Wild Safari - A South African Adventure,"$4,849,356",$21,"$16,621,530",Apr 8,nWave Pictures,null
180,Howl's Moving Castle,"$4,711,096",$202,"$4,711,096",Jun 10,Walt Disney Studios Motion Pictures,https://subtitlecat.com/subs/130/howl%20s%20moving%20castle%20%282004%29%20english.html
181,Ong-Bak: The Thai Warrior,"$4,563,167",387,"$4,563,167",Feb 11,Magnolia Pictures,https://www.subtitlecat.com/subs/192/Ong-Bak.The.Thai.Warrior.2003.720p.BluRay.x264.AAC-.YTS.MX.html
182,Mindhunters,"$4,480,469","$1,040","$4,480,744",May 13,Dimension Films,https://www.subtitlecat.com/subs/259/Mindhunters.2004.720p.BrRip.x264.YIFY.html
183,A Very Long Engagement,"$4,396,424",219,"$6,524,389",Nov 26,Warner Independent Pictures (WIP),https://www.subtitlecat.com/subs/994/A.Very.Long.Engagement.2004.720p.BluRay.x264-CiNEFiLE.html
184,The SpongeBob SquarePants Movie,"$4,311,650","$3,307","$85,417,988",Nov 19,Paramount Pictures,https://www.subtitlecat.com/subs/798/SpongeBob.SquarePants%20eng.html
185,Being Julia,"$4,220,370",328,"$7,739,049",Oct 15,Sony Pictures Classics,https://www.subtitlecat.com/subs/173/Being.Julia.2004.1080p.WEBRip.x264-%5BYTS.AM%5D.html
186,Kiss Kiss Bang Bang,"$4,205,036",$226,"$4,243,756",Oct 21,Warner Bros.,https://subtitlecat.com/subs/236/Kiss.Kiss.Bang.Bang.2005.1080p.BluRay.x265-RARBG-EN.html
187,Enron: The Smartest Guys in the Room,"$4,071,700",$151,"$4,071,700",Apr 22,Magnolia Pictures,https://www.subtitlecat.com/subs/60/Enron.The.Smartest.Guys.in.the.Room.2005.Docu.DVDRip.XviD%2CAlex%20Gibney%2CBethany%20McLean%2CPeter%20Elkind-eng.html
188,Ray,"$4,053,245","2,474","$75,331,600",Oct 29,Universal Pictures,https://www.subtitlecat.com/subs/91/Ray.2004.1080p.BluRay.x264.YIFY.html
189,King's Ransom,"$4,008,193","$1,508","$4,008,527",Apr 22,New Line Cinema,https://subtitlecat.com/subs/86/King%27s.Ransom.2005.720p.WEBRip.x264-%5BYTS.AM%5D.html
190,Kinsey,"$3,928,716",$588,"$10,254,979",Nov 12,Fox Searchlight Pictures,https://www.subtitlecat.com/subs/267/Kinsey%20%282004%29%20_%20ENG.html
191,Me and You and Everyone We Know,"$3,885,134",160,"$3,885,134",Jun 17,IFC Films,https://www.subtitlecat.com/subs/276/Me.And.You.And.Everyone.We.Know.2005.LiMiTED.DVDRip.XviD-NeDiVx.html
192,Melinda and Melinda,"$3,826,280",302,"$3,826,280",Mar 18,Fox Searchlight Pictures,https://www.subtitlecat.com/subs/17/Melinda.and.Melinda.2004.1080p.WEB-DL.AAC2.0.h.264-fiend.1.html
193,The Merchant of Venice,"$3,719,849",107,"$3,765,585",Dec 29,Sony Pictures Classics,https://subtitlecat.com/subs/193/The.Merchant.of.Venice.2004.BluRay.720p.Ganool.html
194,High Tension,"$3,681,066","1,323","$3,681,066",Jun 10,Lionsgate,https://www.subtitlecat.com/subs/272/High.Tension.2003.FRENCH.720p.BluRay.H264.AAC-VXT.html
195,Bad Education,"$3,675,806",$106,"$5,211,842",Nov 19,Sony Pictures Classics,null
196,Stay,"$3,626,883","1,684","$3,626,883",Oct 21,Twentieth Century Fox,https://subtitlecat.com/subs/616/Stay.2005.1080p.BluRay.x264.YIFY.html
197,Born Into Brothels: Calcutta's Red Light Kids,"$3,468,989",127,"$3,515,061",Dec 8,THINKFilm,null
198,Rize,"$3,336,391",352,"$3,336,391",Jun 24,Lionsgate,https://subtitlecat.com/subs/526/Rize%202005%20Limited%20DVDrip%20XVID-Shyster-French.html
199,Grizzly Man,"$3,178,403",105,"$3,178,403",Aug 12,Lionsgate,https://www.subtitlecat.com/subs/396/Grizzly.Man.2005.108AC-RARBG.html
200,Supercross,"$3,102,550","1,621","$3,102,550",Aug 17,Twentieth Century Fox,https://subtitlecat.com/subs/514/Supercross.2005.1080p.WEBRip.x264.AAC5.1-%5BYTS.MX%5D.html
