rank,title,gross,theaters,total gross,release date,distributor,download URL
37,Herbie: Fully Loaded,"$66,023,816","$3,521","$66,023,816",Jun 22,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/166/Herbie%20Fully%20Loaded%20%282005%29en.html
38,The Amityville Horror,"$65,233,369","$3,323","$65,233,369",Apr 15,Metro-Goldwyn-Mayer (MGM),https://www.subtitlecat.com/subs/881/The.Amityville.Horror.2005.1080p.BluRay.x265-RARBG.html
39,Sky High,"$63,946,815","$2,912","$63,946,815",Jul 29,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/879/Sky.High.2005.1080p.BrRip.x264.YIFY.html
40,Bewitched,"$63,313,159","$3,188","$63,313,159",Jun 24,Sony Pictures Releasing,https://www.subtitlecat.com/subs/17/Bewitched.2005.720p.BrRip.x264.YIFY.html
41,Jarhead,"$62,422,775","$2,448","$62,658,220",Nov 4,Universal Pictures,https://www.subtitlecat.com/subs/12/Jarhead.2005.1080p.BrRip.x264.YIFY.html
42,Cinderella Man,"$61,649,911","$2,820","$61,649,911",Jun 3,Universal Pictures,https://www.subtitlecat.com/subs/6/cinderella-man-yify-english.html
43,Red Eye,"$57,891,803","$3,134","$57,891,803",Aug 19,DreamWorks Distribution,https://www.subtitlecat.com/subs/439/Red.Eye.2005.1080p.BluRay.html
44,White Noise,"$56,386,759","$2,279","$56,386,759",Jan 7,Universal Pictures,https://subtitlecat.com/subs/431/White.Noise.2005.720p.BluRay.x264.AAC-%5BYTS.MX%5D.html
45,Be Cool,"$56,046,979","$3,216","$56,046,979",Mar 4,Metro-Goldwyn-Mayer (MGM),https://subtitlecat.com/subs/819/Be.Cool.2005.1080p.BluRay.x264.YIFY.html
46,Wallace & Gromit: The Curse of the Were-Rabbit,"$55,969,163","$3,656","$56,110,897",Oct 5,DreamWorks Distribution,https://subtitlecat.com/subs/471/The.Curse.of.the.Were-Rabbit.2005.1080p.BluRay.H264.AAC-RARBG.html
47,Fun with Dick and Jane,"$54,062,538","$3,239","$110,332,737",Dec 21,Sony Pictures Releasing,https://www.subtitlecat.com/subs/53/Fun.with.Dick.and.Jane.2005.720p.BrRip.x264.YIFY.html
48,Crash,"$53,404,817","$1,905","$54,580,300",May 6,Lionsgate,https://subtitlecat.com/subs/811/Crash.2004.720p.BluRay.x264.YIFY.html
49,Corpse Bride,"$53,359,111","$3,204","$53,359,111",Sep 16,Warner Bros.,https://www.subtitlecat.com/subs/276/Corpse.Bride.2005.720p.BluRay.x264.html
50,Kicking & Screaming,"$52,842,724","$3,470","$52,842,724",May 13,Universal Pictures,https://www.subtitlecat.com/subs/763/Kicking.%26.Screaming.2005.720p.BluRay.x264-%5BYTS.AM%5D.html
51,Hide and Seek,"$51,100,486","$3,005","$51,100,486",Jan 28,Twentieth Century Fox,https://subtitlecat.com/subs/196/Hide.and.Seek.2005.1080p.BrRip.x264.YIFY.html
52,The Hitchhiker's Guide to the Galaxy,"$51,085,416","$3,133","$51,085,416",Apr 29,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/1138/The.Hitchhiker%27s.Guide.to.the.Galaxy.2005.720p.BrRip.x264.YIFY.html
