rank,title,gross,theaters,total gross,release date,distributor,download URL
50,Enemy at the Gates,"$51,401,758","1,724","$51,401,758",Mar 16,Paramount Pictures,https://www.subtitlecat.com/subs/46/Enemy%20at%20the%20Gates%20engels%20%282001%29.html
51,K-PAX,"$50,295,015","2,581","$50,338,485",Oct 26,Universal Pictures,https://subtitlecat.com/subs/168/K-PAX.2001.720p.HDTV.x264.YIFY.eng.html
52,Behind Enemy Lines,"$50,215,028","2,844","$58,856,790",Nov 30,Twentieth Century Fox,https://www.subtitlecat.com/subs/68/Behind.Enemy.Lines.2001.1080p.BluRay.x264.YIFY.html
53,Serendipity,"$50,056,224","2,610","$50,294,317",Oct 5,Miramax,https://subtitlecat.com/subs/225/Serendipity.2001.720p.BluRay.x264.YIFY.html
54,Finding Forrester,"$47,778,290","2,002","$51,804,714",Dec 22,Sony Pictures Releasing,https://subtitlecat.com/subs/403/Finding.Forrester.2000.720p.BluRay.x264-%5BYTS.AM%5D-English.html
55,Jimmy Neutron: Boy Genius,"$45,701,766","3,151","$80,936,232",Dec 21,Paramount Pictures,https://www.subtitlecat.com/subs/168/Jimmy.Neutron.Boy.Genius.2001.1080p.WEBRip.DD5.1.x264-QOQ%20eng.html
56,Zoolander,"$45,104,133","2,522","$45,172,250",Sep 28,Paramount Pictures,https://subtitlecat.com/subs/66/Zoolander%202001%20720p%20BluRay.english.html
57,Domestic Disturbance,"$44,723,385","2,910","$45,246,095",Nov 2,Paramount Pictures,https://www.subtitlecat.com/subs/403/Domestic.Disturbance.2001.720p.BluRay.x264.AAC-%5BYTS.MX%5D.html
58,"O Brother, Where Art Thou?","$44,288,980",847,"$45,512,588",Dec 22,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/890/O.Brother.Where.Art.Thou.2000.1080p.BrRip.x264.YIFY.html
59,The One,"$43,905,746","2,894","$43,905,746",Nov 2,Revolution Studios,https://subtitlecat.com/subs/727/The.One.2001.html
60,Thir13en Ghosts,"$41,867,960","2,781","$41,867,960",Oct 26,Warner Bros.,https://www.subtitlecat.com/subs/690/Thir13en.Ghosts.2001.BluRay.html
61,Bandits,"$41,393,367","3,207","$41,575,141",Oct 12,Metro-Goldwyn-Mayer (MGM),https://www.subtitlecat.com/subs/912/Bandits.2001.1080p.BluRay.H264.AAC-RARBG_Eng.html
62,Heartbreakers,"$40,336,607","2,751","$40,336,607",Mar 23,Metro-Goldwyn-Mayer (MGM),https://subtitlecat.com/subs/40/Heartbreakers.2001.720p.BluRay.x264-SiNNERS.html
63,Hardball,"$40,042,117","2,314","$40,222,729",Sep 14,Paramount Pictures,https://subtitlecat.com/subs/194/Hardball.2001.WEBRip.x264-RARBG.eng.html
64,Evolution,"$38,345,494","2,613","$38,345,494",Jun 8,DreamWorks Distribution,https://www.subtitlecat.com/subs/305/Evolution%202001.html
65,Jeepers Creepers,"$37,904,175","2,944","$37,904,175",Aug 31,United Artists,https://subtitlecat.com/subs/124/JEEPERS%20CREEPERS.html
66,The Emperor's New Groove,"$37,711,468","2,887","$89,302,687",Dec 15,Walt Disney Studios Motion Pictures,https://subtitlecat.com/subs/750/The%20Emperors%20New%20Groove%202000.html
67,Kiss of the Dragon,"$36,845,124","2,100","$36,845,124",Jul 6,Twentieth Century Fox,https://www.subtitlecat.com/subs/72/Kiss%20Of%20The%20Dragon%20%282001%29.html
68,Recess: School's Out,"$36,706,141","2,630","$36,706,141",Feb 16,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/4/Recess.Schools.Out.2001.WEB-DL.x264-RARBGEng.html
69,Ali,"$36,694,948","2,521","$58,203,105",Dec 25,Sony Pictures Releasing,https://www.subtitlecat.com/subs/171/Ali%20%282001%29.html
70,The Family Man,"$36,622,975","2,441","$75,793,305",Dec 22,Universal Pictures,https://www.subtitlecat.com/subs/237/The.Family.Man.html
71,Thirteen Days,"$34,332,515","2,034","$34,592,089",Dec 22,New Line Cinema,https://www.subtitlecat.com/subs/139/Thirteen.Days.2000.1080p.BluRay.x264-%5BYTS.AM%5D-eng.html
72,See Spot Run,"$33,357,476","2,656","$33,357,476",Mar 2,Warner Bros.,https://subtitlecat.com/subs/834/See.Spot.Run.2001.1080p.WEBRip.x264.AAC-%5BYTS.MX%5D-eng.html
73,Driven,"$32,720,065","2,905","$32,720,065",Apr 27,Warner Bros.,https://www.subtitlecat.com/subs/150/Driven.2001.720p.BluRay.x264-%5BYTS.AG%5D.html
74,What's the Worst That Could Happen?,"$32,269,834","2,675","$32,269,834",Jun 1,Metro-Goldwyn-Mayer (MGM),https://www.subtitlecat.com/subs/163/Whats.the.Worst.That.Could.Happen.2001.BluRay.eng.html
75,Final Fantasy: The Spirits Within,"$32,131,830","2,649","$32,131,830",Jul 11,Sony Pictures Releasing,https://www.subtitlecat.com/subs/33/Final.Fantasy.The.Spirits.Within.2001.html
76,Black Knight,"$31,507,862","2,571","$33,426,971",Nov 21,Twentieth Century Fox,https://subtitlecat.com/subs/160/Black.Knight.2001.1080p.BluRay.x264.TrueHD-ETRG.English.html
77,From Hell,"$31,485,734","2,334","$31,602,566",Oct 19,Twentieth Century Fox,https://www.subtitlecat.com/subs/42/from-hell-yify-english.html
78,Not Another Teen Movie,"$30,864,800","2,365","$38,252,284",Dec 14,Sony Pictures Releasing,https://subtitlecat.com/subs/324/Not.Another.Teen.Movie.2001.720p.BluRay.x264-en.html
79,Snatch,"$30,290,494","1,444","$30,328,156",Dec 8,Screen Gems,https://subtitlecat.com/subs/802/Snatch.2000.1080p.BluRay.x264-%5BYTS.AM%5D.html
80,Riding in Cars with Boys,"$30,165,536","2,770","$30,165,536",Oct 19,Sony Pictures Releasing,https://www.subtitlecat.com/subs/851/Riding.In.Cars.With.Boys.2001.720p.BluRay.x264.AAC-%5BYTS.MX%5D-eng.html
81,Jay and Silent Bob Strike Back,"$30,085,147","2,765","$30,085,147",Aug 24,Miramax,https://www.subtitlecat.com/subs/16/jay-and-silent-bob-strike-back-yify-english.html
82,Double Take,"$29,831,583","1,631","$29,831,583",Jan 12,Walt Disney Studios Motion Pictures,https://subtitlecat.com/subs/205/Double%20Take%20%282001%29.html
83,Baby Boy,"$28,734,552","1,533","$28,734,552",Jun 27,Sony Pictures Releasing,https://www.subtitlecat.com/subs/255/Baby%20Boy.English.html
84,The Brothers,"$27,457,409","1,378","$27,457,409",Mar 23,Screen Gems,https://www.subtitlecat.com/subs/1208/The.Brothers.2001.1080p.WEBRip.x264-RARBG.html
85,Someone Like You,"$27,343,067","2,349","$27,343,067",Mar 30,Twentieth Century Fox,https://www.subtitlecat.com/subs/763/Someone.Like.You.2001.1080p.WEBRip.x265-RARBG.html
86,Joe Dirt,"$27,087,695","2,638","$27,087,695",Apr 11,Sony Pictures Releasing,https://subtitlecat.com/subs/21/Joe.Dirt.2001.1080p.BluRay.H264.AAC-RARBG.html
87,The Musketeer,"$27,073,640","2,500","$27,073,640",Sep 7,Universal Pictures,https://www.subtitlecat.com/subs/344/The.Musketeer.2001.1080p.BluRay.English.html
88,Crocodile Dundee in Los Angeles,"$25,635,682","2,166","$25,635,682",Apr 20,Paramount Pictures,https://www.subtitlecat.com/subs/662/Crocodile.Dundee.In.Los.Angeles.2001.1080p.BluRay.x264.AAC5.1-%5BYTS.MX%5D.html
89,Memento,"$25,544,867",531,"$25,544,867",Mar 16,Newmarket Films,https://www.subtitlecat.com/subs/10/Memento.2000.1080p.BluRay.x264.YIFY.html
90,Captain Corelli's Mandolin,"$25,543,895","1,612","$25,543,895",Aug 17,Universal Pictures,https://www.subtitlecat.com/subs/4/Captain.Corellis.Mandolin.2001.1080p.BluRay.x264-SiNNERS.eng.html
91,Sweet November,"$25,288,103","2,268","$25,288,103",Feb 16,Warner Bros.,https://subtitlecat.com/subs/192/Sweet%20November%20%282001%29%201080p.html
92,15 Minutes,"$24,403,552","2,337","$24,403,552",Mar 9,New Line Cinema,https://www.subtitlecat.com/subs/1268/15.Minutes.2001.1080p.BluRay.x264.%5BYTS.AG%5D.eng.html
93,Hearts in Atlantis,"$24,185,781","2,010","$24,185,781",Sep 28,Warner Bros.,https://www.subtitlecat.com/subs/114/Hearts.In.Atlantis.2001.720p.WEB-DL.H264-HDCLUB.html
94,Angel Eyes,"$24,174,218","2,407","$24,174,218",May 18,Warner Bros.,https://subtitlecat.com/subs/78/Angel.Eyes.2001.1080p.WEBRip.x264-%5BYTS.AM%5D.html
95,Corky Romano,"$23,617,484","2,094","$23,980,304",Oct 12,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/104/Corky%20Ramano.html
96,Heist,"$23,510,841","1,891","$23,510,841",Nov 9,Warner Bros.,https://www.subtitlecat.com/subs/107/Heist.2001.WEB-DL.720p.3xRus.Eng.html
97,Kingdom Come,"$23,249,649","1,111","$23,249,649",Apr 11,Fox Searchlight Pictures,https://www.subtitlecat.com/subs/726/Kingdom.Come.2001.1080p.WEBRip.x264.AAC5.1-%5BYTS.MX%5D.html
98,Two Can Play That Game,"$22,235,901","1,308","$22,235,901",Sep 7,Screen Gems,https://www.subtitlecat.com/subs/683/Two.Can.Play.That.Game.2001.1080p.BluRay.x264.AAC-%5BYTS.u6u.html
99,Joy Ride,"$21,974,919","2,522","$21,974,919",Oct 5,Twentieth Century Fox,https://www.subtitlecat.com/subs/339/Joy.Ride.2001.1080p.BluRay.x264.YIFY.html
100,Valentine,"$20,384,136","2,310","$20,384,136",Feb 2,Warner Bros.,https://www.subtitlecat.com/subs/1146/Valentine.2001.1080p.BluRay.x264-%5BYTS.AM%5D-eng.html
101,Summer Catch,"$19,753,553","2,335","$19,753,553",Aug 24,Warner Bros.,https://www.subtitlecat.com/subs/947/Summer.Catch.2001.1080p.WEBRip.x265-RARBG.en.html
102,The Pledge,"$19,733,089","1,410","$19,733,089",Jan 19,Warner Bros.,https://www.subtitlecat.com/subs/222/The.Pledge.2001.720p.BluRay.x264.AAC-%5BYTS.MX%5D.html
103,Vertical Limit,"$19,408,555","2,602","$69,243,859",Dec 8,Sony Pictures Releasing,https://www.subtitlecat.com/subs/159/Vertical.Limit.2000.1080p.BrRip.x264.YIFY.html
104,Saving Silverman,"$19,402,030","2,467","$19,402,030",Feb 9,Sony Pictures Releasing,https://subtitlecat.com/subs/199/Saving.Silverman.2001.720p.WEBRip.x264.AAC-%20YTS.MX%20No-HI-English.html
105,The Last Castle,"$18,244,060","2,270","$18,244,060",Oct 19,DreamWorks Distribution,https://www.subtitlecat.com/subs/707/The%20Last%20Castle%202001%20BluRay-English.html
106,How High,"$18,233,820","1,273","$31,178,740",Dec 21,Universal Pictures,https://www.subtitlecat.com/subs/629/How.High.2001.1080p.BluRay.x264.AAC5.1-%5BYTS.MX%5D.html
107,The Glass House,"$18,150,259","1,601","$18,150,259",Sep 14,Sony Pictures Releasing,https://www.subtitlecat.com/subs/90/The.Glass.House.2001.1080p.WEBRip.DD5.1.HEVC.x265.sharpysword.html
108,Kate & Leopold,"$17,222,281","2,467","$47,121,859",Dec 25,Miramax,https://www.subtitlecat.com/subs/55/Kate.and.Leopold.2001.720p.BluRay.x264.VPPV.html
109,Pokémon 3 the Movie: Spell of the Unown,"$17,052,128","2,675","$17,052,128",Apr 6,Warner Bros.,https://subtitlecat.com/subs/259/03%20Pok%C3%A9mon%203%20The%20Movie%20-%20Spell%20of%20the%20Unown%20%28Emperor%20of%20The%20Crystal%20Tower%20ENTEI%29.html
110,Rock Star,"$17,008,282","2,525","$17,008,282",Sep 7,Warner Bros.,https://www.subtitlecat.com/subs/584/Rock.Star.2001.1080p.BluRay.x265-RARBG.html
111,Max Keeble's Big Move,"$17,004,127","2,045","$17,294,293",Oct 5,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/156/Max%20Keeble%27s%20Big%20Move%20.2001.%20DVDRip.%20XviD.%20MovieExtreme.html
112,Crazy/Beautiful,"$16,937,988","1,603","$16,937,988",Jun 29,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/173/Crazy.Beautiful.2001.720p.WEBRip.x264.AAC-%5BYTS.MX%5D.html
113,Original Sin,"$16,534,221","2,194","$16,534,221",Aug 3,Metro-Goldwyn-Mayer (MGM),https://www.subtitlecat.com/subs/7/Original.Sin.2001.1080p.YIFY.html
114,O,"$16,025,437","1,464","$16,025,437",Aug 31,Lionsgate,https://subtitlecat.com/subs/405/O%20%282001%29%20%5B1080p%5D%20%5BBluRay%5D%20%5B5.1%5D%20%5BYTS.MX%5D.html
115,The Majestic,"$15,923,251","2,361","$27,807,266",Dec 21,Warner Bros.,https://www.subtitlecat.com/subs/172/The.Majestic.2001.720p.BluRay.x264.VPPV.html
116,A Beautiful Mind,"$15,876,796","2,250","$170,742,341",Dec 21,Universal Pictures,https://www.subtitlecat.com/subs/63/A.Beautiful.Mind.2001.1080p.BluRay.H264_ENG.html
117,Amélie,"$15,789,200",303,"$33,225,499",Nov 2,Miramax,https://subtitlecat.com/subs/693/Amelie.English-WWW.MY-SUBS.CO.html
118,3000 Miles to Graceland,"$15,749,959","2,545","$15,749,959",Feb 23,Warner Bros.,https://www.subtitlecat.com/subs/149/3000.Miles.To.Graceland.2001.html
119,Life as a House,"$15,636,354","1,288","$15,667,270",Oct 26,New Line Cinema,https://www.subtitlecat.com/subs/216/Life.As.A.House.2001.1080p.WEBRip.x264.AAC-%5BYTS.MX%5D.html
120,Iron Monkey,"$14,694,904","1,235","$14,694,904",Oct 12,Miramax,https://www.subtitlecat.com/subs/74/Iron.Monkey.1993.1080p.BluRay.H264.AAC-RARBG-eng.html
121,Dracula 2000,"$14,675,536","2,204","$33,022,767",Dec 22,Miramax,https://www.subtitlecat.com/subs/238/Dracula.2000.1080p.BluRay.x264-SECTOR7.html
122,Joe Somebody,"$14,577,095","2,517","$22,771,646",Dec 21,Twentieth Century Fox,https://www.subtitlecat.com/subs/765/Joe.Somebody.2001.1080p.BluRay.H264.AAC-RARBG.en.html
123,Josie and the Pussycats,"$14,271,015","2,558","$14,271,015",Apr 11,Universal Pictures,https://www.subtitlecat.com/subs/30/Josie.And.The.Pussycats.2001.1080p.WEB%20DL.DD5.1.H.264%20HKD.html
124,Freddy Got Fingered,"$14,254,993","2,271","$14,254,993",Apr 20,Twentieth Century Fox,https://subtitlecat.com/subs/550/Freddy.Got.Fingered.2001.1080p.BluRay.x264.AAC5.1-%5BYTS.MX%5D.html
125,The Tailor of Panama,"$13,729,742",441,"$13,729,742",Mar 30,Sony Pictures Releasing,https://www.subtitlecat.com/subs/104/The.Tailor.Of.Panama.2001.720p.BluRay.x264-%5BYTS.AG%5D.html
126,"Dude, Where's My Car?","$13,615,951","2,100","$46,729,800",Dec 15,Twentieth Century Fox,https://subtitlecat.com/subs/743/Dude%20Wheres%20My%20Car%202000.html
127,Osmosis Jones,"$13,596,911","2,305","$13,596,911",Aug 10,Warner Bros.,https://www.subtitlecat.com/subs/83/Osmosis%20Jones%20%282001%29.html
128,Out Cold,"$13,563,173","2,011","$13,906,394",Nov 21,Walt Disney Studios Motion Pictures,https://subtitlecat.com/subs/39/Out.Cold.2001.720p.WEBRip.x264-%5BYTS.AM%5D.html
129,Tomcats,"$13,558,739","2,617","$13,558,739",Mar 30,Revolution Studios,https://www.subtitlecat.com/subs/202/Tomcats.2001.480p.BluRay.x264.350MB-Pahe.in.html
130,American Outlaws,"$13,342,790","2,348","$13,342,790",Aug 17,Warner Bros.,https://www.subtitlecat.com/subs/95/American%20Outlaws%202001%20720p.ENG.html
131,Sugar & Spice,"$13,305,101","2,150","$13,305,101",Jan 26,New Line Cinema,https://www.subtitlecat.com/subs/51/Sugar.%26.Spice.2001.1080p.AMZN.WEB-DL.DDP2.0.x264-monkee.html
132,The Gift,"$11,965,167",807,"$12,008,642",Dec 22,Paramount Classics,https://subtitlecat.com/subs/103/The.Gift.2000.720p.BluRay.x264.YIFY%5B1%5D.html
133,Get Over It,"$11,576,464","1,742","$11,576,464",Mar 9,Miramax,https://www.subtitlecat.com/subs/718/Get.Over.It.2001.1080p.AMZN.WEB-DL.DDP5.1.H.264-TEPES.html
134,Antitrust,"$11,328,094","2,433","$11,328,094",Jan 12,Metro-Goldwyn-Mayer (MGM),https://www.subtitlecat.com/subs/496/Antitrust.English.html
135,Head Over Heels,"$10,424,470","2,363","$10,424,470",Feb 2,Universal Pictures,https://www.subtitlecat.com/subs/495/Head.Over.Heels.html
136,The Wash,"$9,952,394",749,"$10,097,538",Nov 16,Lionsgate,https://subtitlecat.com/subs/694/The.Wash.2001.html
137,102 Dalmatians,"$9,400,238","2,704","$66,957,026",Nov 22,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/331/102.Dalmatians.2000.1080p.WEBRip.x264-RARBG.html
138,The Royal Tenenbaums,"$9,234,863",999,"$52,364,010",Dec 14,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/87/The%20Royal%20Tenenbaums%20ENG.html
139,The Deep End,"$8,823,109",412,"$8,823,109",Aug 10,Fox Searchlight Pictures,https://www.subtitlecat.com/subs/123/The.Deep.End.2001.720p.BluRay.x264.YIFY.html
140,All the Pretty Horses,"$8,722,914","1,593","$15,540,353",Dec 25,Miramax,https://subtitlecat.com/subs/202/All.The.Pretty.Horses.2000.1080p.BluRay.x264.AAC-%5BYTS.MX%5D.html
141,Ghosts of Mars,"$8,709,640","2,048","$8,709,640",Aug 24,Screen Gems,https://www.subtitlecat.com/subs/15/Ghosts.of.Mars.2001.720p.BluRay.x264-BestHD.html
142,Pollock,"$8,554,349",280,"$8,598,593",Dec 15,Sony Pictures Classics,https://www.subtitlecat.com/subs/683/Pollock.2000.720p.BluRay.x264.AAC-%5BYTS.MX%5D.html
143,How the Grinch Stole Christmas,"$8,415,920","3,256","$261,231,700",Nov 17,Universal Pictures,https://subtitlecat.com/subs/855/How%20the%20Grinch%20Stole%20Christmas%202000.html
144,Shadow of the Vampire,"$8,093,543",513,"$8,293,784",Dec 29,Lionsgate,https://www.subtitlecat.com/subs/217/Shadow.Of.The.Vampire.2000.1080p.AMZN.WEB-DL.DD%2B5.1.x264-monkee.html
145,The Closet,"$8,067,083",145,"$6,678,894",Jun 6,Miramax,https://www.subtitlecat.com/subs/208/The.Closet.2020.1080p.BluRay.x264.AAC5.1-%5BYTS.MX%5D.html
146,The Curse of the Jade Scorpion,"$7,517,191",909,"$7,517,191",Aug 24,DreamWorks Distribution,https://www.subtitlecat.com/subs/137/The%20Curse%20of%20The%20Jade%20Scorpion%202001.e.html
147,Bones,"$7,316,658",847,"$7,316,658",Oct 26,New Line Cinema,https://www.subtitlecat.com/subs/749/Bones.2001.1080p.BluRay.x264-HANDJOB.html
