rank,title,gross,theaters,total gross,release date,distributor,download URL
1,Harry Potter and the Sorcerer's Stone,"$288,516,414","3,672","$317,575,550",Nov 16,Warner Bros.,https://www.subtitlecat.com/subs/8/harry-potter-and-the-sorcerers-stone-yify-english.html
2,Shrek,"$267,665,011","3,715","$268,200,241",May 16,DreamWorks Distribution,https://www.subtitlecat.com/subs/99/Shrek.2001.1080p.BluRay.x264.YIFY.html
3,"Monsters, Inc.","$237,466,244","3,649","$255,873,250",Nov 2,Walt Disney Studios Motion Pictures,https://subtitlecat.com/subs/8/Monsters.Inc.2001.720p.BluRay.x264.YIFY.html
4,Rush Hour 2,"$226,164,286","3,118","$226,164,286",Aug 3,New Line Cinema,https://www.subtitlecat.com/subs/739/Rush%20Hour%202%202001.html
5,The Mummy Returns,"$202,019,785","3,553","$202,019,785",May 4,Universal Pictures,https://subtitlecat.com/subs/479/The.Mummy.Returns.2001.html
6,Pearl Harbor,"$198,542,554","3,255","$198,542,554",May 25,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/163/Pearl.Harbor.2001.1080p.BluRay.x264-%5BYTS.AG%5D.html
7,Jurassic Park III,"$181,171,875","3,462","$181,171,875",Jul 18,Universal Pictures,https://www.subtitlecat.com/subs/689/Jurassic.Park.III.2001.Subtitles.YIFY.html
8,Planet of the Apes,"$179,737,919","3,530","$180,011,740",Jul 27,Twentieth Century Fox,https://subtitlecat.com/subs/731/%2BPlanet.of.the.Apes.2001.html
9,Hannibal,"$165,092,268","3,292","$165,092,268",Feb 9,Metro-Goldwyn-Mayer (MGM),https://www.subtitlecat.com/subs/74/Hannibal.2001.720p.BluRay.x264.YIFY.html
10,The Lord of the Rings: The Fellowship of the Ring,"$163,871,215","3,381","$313,364,114",Dec 19,New Line Cinema,https://www.subtitlecat.com/subs/82/The%20lord%20of%20the%20Ring%20The%20fellowship%20of%20the%20ring.html
11,American Pie 2,"$145,103,595","3,157","$145,103,595",Aug 10,Universal Pictures,https://subtitlecat.com/subs/262/American.Pie.2.2001.720p.BluRay.x264-%5BYTS.AG%5D.English.html
12,The Fast and the Furious,"$144,533,925","2,899","$144,533,925",Jun 22,Universal Pictures,https://www.subtitlecat.com/subs/32/The.Fast.and.the.Furious.2001.REMASTERED.1080p.BluRay.H264.AAC-RARBG-.html
13,Ocean's Eleven,"$132,148,523","3,075","$183,417,150",Dec 7,Warner Bros.,https://www.subtitlecat.com/subs/144/Oceans.Eleven.2001.1080p.BluRay.x264-HDEX.ENG.html
14,Lara Croft: Tomb Raider,"$131,168,070","3,349","$131,168,070",Jun 15,Paramount Pictures,https://www.subtitlecat.com/subs/20/Lara.Croft.Tomb.Raider.2001.720p.BrRip.264.YIFY.srt.html
15,Traffic,"$123,821,766","1,755","$124,115,725",Dec 27,USA Films,https://www.subtitlecat.com/subs/544/Traffic.2000.html
16,Cast Away,"$123,211,641","3,061","$233,632,142",Dec 22,Twentieth Century Fox,https://www.subtitlecat.com/subs/105/Cast.Away.2000.1080p.BrRip.x264.YIFY.html
17,"Crouching Tiger, Hidden Dragon","$116,297,316","2,027","$128,078,872",Dec 8,Sony Pictures Classics,https://www.subtitlecat.com/subs/18/Crouching%20Tiger%2C%20Hidden%20Dragon%20%202000.html
18,Dr. Dolittle 2,"$112,952,899","3,053","$112,952,899",Jun 22,Twentieth Century Fox,https://www.subtitlecat.com/subs/142/Dr.%20Dolittle%202%20%282001%29.html
19,Spy Kids,"$112,719,001","3,191","$112,719,001",Mar 30,Miramax,https://www.subtitlecat.com/subs/196/Spy%20Kids-English.html
20,The Princess Diaries,"$108,164,921","2,749","$108,248,956",Aug 3,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/9/The.Princess.Diaries.2001.BluRay.720p.H264.eng.html
21,The Others,"$96,522,687","2,843","$96,522,687",Aug 10,Miramax,https://subtitlecat.com/subs/846/The%20Others%202001.html
22,Legally Blonde,"$96,520,674","2,725","$96,520,674",Jul 13,Metro-Goldwyn-Mayer (MGM),https://www.subtitlecat.com/subs/46/Legally.Blonde.2001.720p.BrRip.x264.YIFY.html
23,America's Sweethearts,"$93,607,673","3,011","$93,607,673",Jul 20,Revolution Studios,https://www.subtitlecat.com/subs/46/Americas.Sweethearts.2001.720p.x264.YIFY.html
24,Cats & Dogs,"$93,385,515","3,040","$93,385,515",Jul 4,Warner Bros.,https://www.subtitlecat.com/subs/23/Cats.%26.Dogs.2001.720p.BluRay.AC3-x264.html
25,Save the Last Dance,"$91,057,006","2,570","$91,057,006",Jan 12,Paramount Pictures,https://www.subtitlecat.com/subs/104/Save.The.Last.Dance.2001.1080p.BluRay.x264-%5BYTS.AM%5D.html
26,Atlantis: The Lost Empire,"$84,056,472","3,071","$84,056,472",Jun 8,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/10/Atlantis.The.Lost.Empire.2001.720p.BRrip.x264.GAZ.YIFY.html
27,A.I. Artificial Intelligence,"$78,616,689","3,242","$78,616,689",Jun 29,Warner Bros.,https://www.subtitlecat.com/subs/269/A.I.%20-%20Artificial%20Intelligence%20%282001%29.html
28,Training Day,"$76,631,907","2,712","$76,631,907",Oct 5,Warner Bros.,https://www.subtitlecat.com/subs/196/Training.Day.2001.EN.html
29,Along Came a Spider,"$74,078,174","2,573","$74,078,174",Apr 6,Paramount Pictures,https://www.subtitlecat.com/subs/11/Along.Came.a.Spider.2001.1080p.BluRay.H264.AAC-RARBG.html
30,What Women Want,"$72,624,146","3,092","$182,811,707",Dec 15,Paramount Pictures,https://www.subtitlecat.com/subs/166/What.Women.Want.2000.1080p.BluRay.H264.AAC-RARBG.html
31,Bridget Jones's Diary,"$71,543,427","2,547","$71,543,427",Apr 13,Miramax,https://www.subtitlecat.com/subs/5/Bridget.Jones.Diary.2001.720p.BluRay.x264.anoXmous_.eng.html
32,Scary Movie 2,"$71,308,997","3,220","$71,308,997",Jul 4,Miramax,https://www.subtitlecat.com/subs/215/Scary%20Movie%202%20%282001%29_En.html
33,The Score,"$71,107,711","2,211","$71,107,711",Jul 13,Paramount Pictures,https://www.subtitlecat.com/subs/525/The%20Score.2001.720p.BrRip.x264.YIFY.html
34,Swordfish,"$69,772,969","2,688","$69,772,969",Jun 8,Warner Bros.,https://www.subtitlecat.com/subs/81/Swordfish.2001.1080p.BluRay.H264.AAC-RARBG.html
35,Vanilla Sky,"$68,620,163","2,842","$100,618,344",Dec 14,Paramount Pictures,https://www.subtitlecat.com/subs/24/Vanilla.Sky.2001.1080p.BluRay.x264.VPPV.html
36,Shallow Hal,"$68,352,745","2,799","$70,839,203",Nov 9,Twentieth Century Fox,https://subtitlecat.com/subs/820/Shallow.Hal.English-WWW.MY-SUBS.CO.html
37,Chocolat,"$68,038,305","1,928","$71,509,363",Dec 15,Miramax,https://www.subtitlecat.com/subs/429/Chocolat.2000.1080p.BluRay.x265-RARBG.html
38,The Mexican,"$66,845,033","3,162","$66,845,033",Mar 2,DreamWorks Distribution,https://www.subtitlecat.com/subs/120/The.Mexican.2001.1080p.BluRay.x264-%5BYTS.AM%5D.html
39,Miss Congeniality,"$65,033,094","2,668","$106,807,667",Dec 22,Warner Bros.,https://subtitlecat.com/subs/333/Miss.Congeniality.2000.1080p.BluRay.x264-%5BYTS.AM%5D.eng.html
40,Down to Earth,"$64,186,502","2,521","$64,186,502",Feb 16,Paramount Pictures,https://subtitlecat.com/subs/516/Down.to.Earth.2001.html
41,Spy Game,"$60,840,050","2,770","$62,362,560",Nov 21,Universal Pictures,https://www.subtitlecat.com/subs/907/Spy.Game.2001.1080p.BluRay.x264-OFT.html
42,The Wedding Planner,"$60,400,856","2,785","$60,400,856",Jan 26,Sony Pictures Releasing,https://www.subtitlecat.com/subs/41/The.Wedding.Planner.2001.1080p.BluRay.H264.AAC-RARBG.en.html
43,The Animal,"$57,743,291","2,788","$57,743,062",Jun 1,Revolution Studios,https://subtitlecat.com/subs/739/The%20Animal%202001.html
44,Moulin Rouge!,"$57,039,601","2,283","$57,386,607",May 18,Twentieth Century Fox,https://subtitlecat.com/subs/288/Moulin.Rouge.2001.1080p.BrRip.x264.BOKUTOX.YIFY%20eng.html
45,Rat Race,"$56,618,055","2,551","$56,618,055",Aug 17,Paramount Pictures,https://www.subtitlecat.com/subs/317/Rat.Race.2001.1080p.WEBRip.x264-%5BYTS.AM%5D_eng.html
46,A Knight's Tale,"$56,569,702","2,980","$56,569,702",May 11,Sony Pictures Releasing,https://www.subtitlecat.com/subs/24/A.Knights.Tale.2001.1080p.BrRip.x264.YIFY.html
47,Don't Say a Word,"$54,916,382","2,842","$55,001,642",Sep 28,Twentieth Century Fox,https://www.subtitlecat.com/subs/97/Dont.Say.a.Word.2001.720p.BluRay.H264.AAC-RARBG.html
48,Blow,"$52,990,775","2,249","$52,990,775",Apr 6,New Line Cinema,https://www.subtitlecat.com/subs/581/Blow.2001.1080p.BluRay.H264.AAC-RARBG.html
49,Exit Wounds,"$51,758,599","2,830","$51,758,599",Mar 16,Warner Bros.,https://www.subtitlecat.com/subs/161/Exit.Wounds.2001.720p.BluRay.x264.YIFY.html
