rank,title,gross,theaters,total gross,release date,distributor,download URL
41,The Whole Nine Yards,"$57,262,492","2,910","$57,262,492",Feb 18,Warner Bros.,https://www.subtitlecat.com/subs/223/The.Whole.Nine.Yards.2000.720p.BluRay.x264-%5BYTS.AM%5D-English.html
42,Shanghai Noon,"$56,937,502","2,751","$56,937,502",May 26,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/141/Shanghai.Noon.2000.720p.BluRay.x264-%5BYTS.AM%5D.html
43,Romeo Must Die,"$55,973,336","2,641","$55,973,336",Mar 22,Warner Bros.,https://www.subtitlecat.com/subs/265/Romeo%20Must%20Die.html
44,102 Dalmatians,"$55,552,178","2,704","$66,957,026",Nov 22,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/331/102.Dalmatians.2000.1080p.WEBRip.x264-RARBG.html
45,The Cider House Rules,"$54,535,422","1,738","$57,545,092",Dec 10,Miramax,https://www.subtitlecat.com/subs/437/The.Cider.House.Rules.1999.html
46,Final Destination,"$53,331,147","2,587","$53,331,147",Mar 17,New Line Cinema,https://www.subtitlecat.com/subs/496/Final.Destination.2000.1080p.BluRay.x265-.html
47,The Talented Mr. Ripley,"$51,726,616","2,369","$81,298,265",Dec 25,Paramount Pictures,https://www.subtitlecat.com/subs/720/The%20Talented%20Mr.%20Ripley-English.html
48,Galaxy Quest,"$51,665,118","2,450","$71,583,916",Dec 25,DreamWorks Distribution,https://www.subtitlecat.com/subs/285/Galaxy%20Quest%201999%20720p%20BrRip%20x264%20YIFY-English.html
49,The Road to El Dorado,"$50,863,742","3,223","$50,863,742",Mar 31,DreamWorks Distribution,https://www.subtitlecat.com/subs/64/The.Road.To.El.Dorado.2000.720p.BluRay.x264-%5BYTS.AM%5D.html
50,The Hurricane,"$50,336,689","2,148","$50,699,241",Dec 29,Universal Pictures,https://www.subtitlecat.com/subs/6/The%20Hurricane%201999%20BluRay%20720p%20DTS%20x264-LEGi0N%20English.html
51,Vertical Limit,"$49,834,850","2,602","$69,243,859",Dec 8,Sony Pictures Releasing,https://www.subtitlecat.com/subs/159/Vertical.Limit.2000.1080p.BrRip.x264.YIFY.html
52,Men of Honor,"$47,357,207","2,188","$48,818,921",Nov 10,Twentieth Century Fox,https://subtitlecat.com/subs/277/Men.of.Honor.2000.1080p.BluRay.x264.YIFY.html
53,Toy Story 2,"$46,009,125","3,257","$245,852,179",Nov 19,Walt Disney Studios Motion Pictures,https://subtitlecat.com/subs/387/Toy.Story.2.1999.720p.BluRay.x264.YIFY.html
54,The Tigger Movie,"$45,554,533","2,818","$45,554,533",Feb 11,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/26/The.Tigger.Movie.2000.BluRay.html
55,Frequency,"$45,010,278","2,631","$45,010,278",Apr 28,New Line Cinema,https://subtitlecat.com/subs/564/Frequency.2000.1080p.BluRay.x265-RARBG.html
56,The Replacements,"$44,737,059","2,754","$44,737,059",Aug 11,Warner Bros.,https://www.subtitlecat.com/subs/638/The.Replacements.2000.720p.BluRay.x264.YIFY.Eng.html
57,Pokémon the Movie 2000,"$43,758,684","2,752","$43,758,684",Jul 21,Warner Bros.,https://subtitlecat.com/subs/557/Pokemon.The.Movie.2000.%281999%29.720p.BluRay.x264.AAC-%5B%20iFlixAsia.com%20%5D.html
58,Miss Congeniality,"$41,784,460","2,668","$106,807,667",Dec 22,Warner Bros.,https://subtitlecat.com/subs/333/Miss.Congeniality.2000.1080p.BluRay.x264-%5BYTS.AM%5D.eng.html
59,Any Given Sunday,"$39,882,713","2,505","$75,530,832",Dec 22,Warner Bros.,https://www.subtitlecat.com/subs/93/Any.Given.Sunday.DIRECTORS.CUT.1999.1080p.BrRip.x264.YIFY.html
60,The Beach,"$39,785,027","2,587","$39,785,027",Feb 11,Twentieth Century Fox,https://subtitlecat.com/subs/67/The.Beach.2000.1080p.BrRip.x264.YIFY.html
61,The Exorcist2000 Director's Cut,"$39,671,011","1,708","$39,671,011",Sep 22,Warner Bros.,https://www.subtitlecat.com/subs/6/The%20Exorcist.html
62,Pitch Black,"$39,240,659","1,930","$39,240,659",Feb 18,USA Films,https://www.subtitlecat.com/subs/6/Pitch%20Black%20%282000%29%20720p%20BluRay%20x264%20-%20YIFY.html
63,The Emperor's New Groove,"$38,960,149","2,887","$89,302,687",Dec 15,Walt Disney Studios Motion Pictures,https://subtitlecat.com/subs/750/The%20Emperors%20New%20Groove%202000.html
64,The Family Man,"$38,817,090","2,441","$75,793,305",Dec 22,Universal Pictures,https://www.subtitlecat.com/subs/249/The.Family.Man.2000.1080p.BrRip.x264.BOKUTOX.YIFY.html
65,Little Nicky,"$38,801,062","2,910","$39,464,775",Nov 10,New Line Cinema,https://subtitlecat.com/subs/237/Little.Nicky.2000.1080p.REPACK.WEBrip.x264.AC3-ETRG.English.html
66,The Original Kings of Comedy,"$38,182,790","1,082","$38,182,790",Aug 18,Paramount Pictures,N/A
67,Autumn in New York,"$37,761,915","2,282","$37,761,915",Aug 11,Metro-Goldwyn-Mayer (MGM),https://www.subtitlecat.com/subs/90/Autumn.In.New.York.2000.1080p.BluRay.x264-%5BYTS.AM%5D.html
68,Bedazzled,"$37,472,420","2,571","$37,886,980",Oct 20,Twentieth Century Fox,https://www.subtitlecat.com/subs/109/Bedazzled.2000.1080p.BluRay.x264.YIFY-en.html
69,28 Days,"$37,170,488","2,523","$37,170,488",Apr 14,Sony Pictures Releasing,https://www.subtitlecat.com/subs/442/28.Days.2000.1080p.BluRay.x264.AAC5.1-%5BYTS.MX%5D.html
70,Keeping the Faith,"$37,047,880","2,171","$37,047,880",Apr 14,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/227/Keeping.the.Faith.2000.720p.BluRay.x264.%5BYTS.MX%5D-English.html
71,Bounce,"$36,637,217","2,028","$36,805,288",Nov 17,Miramax,https://www.subtitlecat.com/subs/166/Bounce.2000.1080p.BluRay.H264.AAC-RARBG.English.html
72,Hanging Up,"$36,050,230","2,618","$36,050,230",Feb 18,Sony Pictures Releasing,https://www.subtitlecat.com/subs/16/The.Hang.Up.1969.720p.BluRay.H264.AAC-RARBG.html
73,The Flintstones in Viva Rock Vegas,"$35,268,275","3,125","$35,268,275",Apr 28,Universal Pictures,https://www.subtitlecat.com/subs/746/The.Flintstones.In.Viva.Rock.Vegas.2000.720p.BluRay.x264.AAC-%5BYTS.MX%5D-eng.html
74,The Skulls,"$35,046,120","2,416","$35,046,120",Mar 31,Universal Pictures,https://subtitlecat.com/subs/660/The%20Skulls%20%282000%29.html
75,Mysteries of Egypt,"$34,271,224",27,"$40,593,486",Aug 21,IMAX,N/A
76,The 6th Day,"$34,259,361","2,516","$34,604,280",Nov 17,Sony Pictures Releasing,https://www.subtitlecat.com/subs/5/The.Sixth.Day.2000.1080p.BluRay.H264.AAC-RARBGEng.html
77,My Dog Skip,"$34,134,641","2,331","$34,134,641",Jan 14,Warner Bros.,https://www.subtitlecat.com/subs/26/My%20Dog%20Skip%20%282000%29%20BluRay%20720p%20Ganool.html
78,Where the Heart Is,"$33,772,838","2,439","$33,772,838",Apr 28,Twentieth Century Fox,https://www.subtitlecat.com/subs/122/Where.the.Heart.Is.2000.1080p.AMZN.WEB-DL.DD%2B2.0.H.264-SiGMA.eng.html
79,"Dude, Where's My Car?","$33,113,843","2,100","$46,729,800",Dec 15,Twentieth Century Fox,https://www.subtitlecat.com/subs/395/Dude.Wheres.My.Car.2000.1080p.BluRay.x264.AAC5.1-%5BYTS.MX%5D-eng.html
80,Pay It Forward,"$32,960,771","2,130","$33,519,628",Oct 20,Warner Bros.,https://www.subtitlecat.com/subs/94/Pay.It.Forward.2000.WEB-DL.x264-RARBG.html
81,Return to Me,"$32,722,798","2,320","$32,722,798",Apr 7,Metro-Goldwyn-Mayer (MGM),https://www.subtitlecat.com/subs/76/Return.To.Me.2000.1080p.BluRay.x264-%5BYTS.AM%5D.html
82,Almost Famous,"$31,932,799","2,262","$32,534,850",Sep 15,DreamWorks Distribution,https://www.subtitlecat.com/subs/11/Almost.Famous.2000.720p.BluRay.x264-SiNNERS.eng.html
83,The Legend of Bagger Vance,"$30,688,488","2,162","$30,919,168",Nov 3,DreamWorks Distribution,https://www.subtitlecat.com/subs/374/The.Legend.Of.Bagger.Vance.2000.1080p.WEBRip.x264-%5BYTS.AM%5D-English.html
84,The Art of War,"$30,208,599","2,630","$30,208,599",Aug 25,Warner Bros.,https://www.subtitlecat.com/subs/23/The.Art.of.War.2000.720p.BluRay.x264.YIFY.html
85,Bless the Child,"$29,381,494","2,524","$29,381,494",Aug 11,Paramount Pictures,https://www.subtitlecat.com/subs/537/Bless.The.Child.2000.1080p.BluRay.x264.AAC5.1-%5BYTS.MX%5D.html
86,The Watcher,"$28,946,615","2,777","$28,946,615",Sep 8,Universal Pictures,https://www.subtitlecat.com/subs/18/The.Watcher.html
87,"Girl, Interrupted","$28,562,738","1,935","$28,912,646",Dec 21,Sony Pictures Releasing,https://www.subtitlecat.com/subs/493/Girl%20Interrupted.1999.DVDRip.XviD-VLiS.html
88,Love & Basketball,"$27,459,615","1,245","$27,459,615",Apr 21,New Line Cinema,https://www.subtitlecat.com/subs/192/Love.and.Basketball.2000.720p.BluRay.x264.YIFY.html
89,High Fidelity,"$27,287,137","1,231","$27,287,137",Mar 31,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/300/High.Fidelity.2000.720p.BluRay.x264-%5BYTS.AM%5D-English.html
90,Book of Shadows: Blair Witch 2,"$26,437,094","3,320","$26,437,094",Oct 27,Artisan Entertainment,https://www.subtitlecat.com/subs/635/Book.Of.Shadows.Blair.Witch.2.2000.1080p.BluRay.x264.AAC5.1-%5BYTS.MX%5D.html
91,Proof of Life,"$26,380,380","2,705","$32,598,931",Dec 8,Warner Bros.,http://subtitlecat.com/subs/223/Proof.of.Life.2000.English.html
92,The Adventures of Rocky & Bullwinkle,"$26,005,820","2,482","$26,005,820",Jun 30,Universal Pictures,https://www.subtitlecat.com/subs/357/The.Adventures.Of.Rocky.And.Bullwinkle.2000.1080p.BluRay.H264.AAC-RARBG-English.html
93,Nurse Betty,"$25,170,054","1,491","$25,170,054",Sep 8,USA Films,https://subtitlecat.com/subs/857/Nurse.Betty.2000.720p.WEBRip.x264-.YTS.LT.html
94,Bicentennial Man,"$24,838,165","2,767","$58,223,861",Dec 17,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/122/Bicentennial.Man.1999.1080p.BluRay.x264-%5BYTS.AM%5D.html
95,Deuce Bigalow: Male Gigolo,"$23,565,651","2,162","$65,538,755",Dec 10,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/305/Deuce.Bigalow.Male.Gigolo.1999.1080p.WEB-DL.x264.AC3-ETRG-English112.html
96,Reindeer Games,"$23,244,837","2,204","$23,368,995",Feb 25,Miramax,https://www.subtitlecat.com/subs/31/Reindeer%20Games%20%282000.html
97,Titan A.E.,"$22,753,426","2,775","$22,753,426",Jun 16,Twentieth Century Fox,https://www.subtitlecat.com/subs/158/Titan.A.E..2000.720p.WEBRip.x264-%5BYTS.LT%5D.html
98,Boys and Girls,"$21,799,652","1,989","$21,799,652",Jun 16,Dimension Films,https://subtitlecat.com/subs/745/Boys.And.Girls.2000.1080p.BluRay.x265-RARBG.eng.html
99,Magnolia,"$21,540,572","1,086","$22,455,976",Dec 17,New Line Cinema,https://www.subtitlecat.com/subs/32/Magnolia.1999.1080p.BluRay.H264.AAC-RARBG-.html
100,Battlefield Earth,"$21,471,685","3,307","$21,471,685",May 12,Warner Bros.,https://www.subtitlecat.com/subs/46/Battlefield.Earth.2000.BluRay.html
