rank,title,gross,theaters,total gross,release date,distributor,download URL
1,How the Grinch Stole Christmas,"$251,628,905","3,256","$261,231,700",Nov 17,Universal Pictures,https://subtitlecat.com/subs/855/How%20the%20Grinch%20Stole%20Christmas%202000.html
2,Mission: Impossible II,"$215,409,889","3,669","$215,409,889",May 24,Paramount Pictures,https://www.subtitlecat.com/subs/446/Mission.Impossible.II.2000.html
3,Gladiator,"$186,610,052","3,188","$187,705,427",May 5,DreamWorks Distribution,https://subtitlecat.com/subs/8/Gladiator.EXTENDED.2000.1080.BrRip.264.YIFY.html
4,The Perfect Storm,"$182,618,434","3,407","$182,618,434",Jun 30,Warner Bros.,https://subtitlecat.com/subs/46/The.Perfect.Storm.2000.720p.BluRay.DDEX.x264-ESiR.ENG.html
5,Meet the Parents,"$161,146,255","2,697","$166,244,045",Oct 6,Universal Pictures,https://subtitlecat.com/subs/739/Meet%20the%20Parents%202000.html
6,X-Men,"$157,299,718","3,112","$157,299,718",Jul 14,Twentieth Century Fox,https://subtitlecat.com/subs/512/X-Men%202000%20English.html
7,Scary Movie,"$157,019,771","3,301","$157,019,771",Jul 7,Miramax,https://www.subtitlecat.com/subs/11/Scary.Movie.2000.BrRip.720p.x264.YIFY.html
8,What Lies Beneath,"$155,359,812","2,925","$155,464,351",Jul 21,DreamWorks Distribution,https://www.subtitlecat.com/subs/12/What.Lies.Beneath.2000.1080p.BluRay.X264-AMIABLE.html
9,Dinosaur,"$137,748,063","3,319","$137,748,063",May 19,Walt Disney Studios Motion Pictures,https://subtitlecat.com/subs/575/Dinosaur.2000.1080p.BrRip.x264.YIFY.html
10,Erin Brockovich,"$125,595,205","3,070","$125,595,205",Mar 17,Universal Pictures,https://subtitlecat.com/subs/548/Erin%20Brockovich%20English.html
11,Nutty Professor II: The Klumps,"$123,305,415","3,251","$123,309,890",Jul 28,Universal Pictures,https://www.subtitlecat.com/subs/142/Nutty%20Professor%20II%20%282000%20Eng%20Drip%20DivX6.4%29-%3DHoTbOx%3D-.html
12,Charlie's Angels,"$122,693,797","3,037","$125,305,545",Nov 3,Sony Pictures Releasing,https://www.subtitlecat.com/subs/5/Charlies.Angels.2000.1080p.BrRip.x264.YIFY.html
13,Big Momma's House,"$117,559,438","2,854","$117,559,438",Jun 2,Twentieth Century Fox,https://www.subtitlecat.com/subs/1320/Big%20Mommas%20House-English.html
14,Remember the Titans,"$113,546,621","2,803","$115,654,751",Sep 29,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/185/Remember.The.Titans.2000.1080p.BluRay.x264-%5BYTS.AG%5D.html
15,The Patriot,"$113,330,342","3,061","$113,330,342",Jun 28,Sony Pictures Releasing,https://subtitlecat.com/subs/83/The.Patriot.Extended.Cut.2000.1080p.BrRip.x264.YIFY.en.html
16,What Women Want,"$110,187,917","3,092","$182,811,707",Dec 15,Paramount Pictures,https://www.subtitlecat.com/subs/166/What.Women.Want.2000.1080p.BluRay.H264.AAC-RARBG.html
17,Chicken Run,"$106,834,564","2,953","$106,834,564",Jun 23,DreamWorks Distribution,https://www.subtitlecat.com/subs/145/Chicken%20Run%20%282000%29.html
18,Gone in 60 Seconds,"$101,648,571","3,089","$101,648,571",Jun 9,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/141/Gone.in.Sixty.Seconds.2000.720p.BrRip.x264.YIFY%2BHI.html
19,Cast Away,"$100,628,725","3,061","$233,632,142",Dec 22,Twentieth Century Fox,https://www.subtitlecat.com/subs/105/Cast.Away.2000.1080p.BrRip.x264.YIFY.html
20,"Me, Myself & Irene","$90,570,999","3,087","$90,570,999",Jun 23,Twentieth Century Fox,https://www.subtitlecat.com/subs/277/Me.Myself.And.Irene.2000.1080p.BluRay.x264.AC3-ETRG.English.html
21,Space Cowboys,"$90,107,204","2,835","$90,464,773",Aug 4,Warner Bros.,https://www.subtitlecat.com/subs/1019/Space%20Cowboys-English.html
22,Scream 3,"$89,143,175","3,467","$89,143,175",Feb 4,Dimension Films,https://subtitlecat.com/subs/178/Scream%203%20-%202000%20-%20ST.Fr%20-%20Patrick%20Dempsey%2C%20Carrie%20Fisher%2C%20Scott%20Foley%2C%20Jenny%20McCarthy.html
23,Unbreakable,"$88,304,876","2,708","$95,011,339",Nov 22,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/22/Unbreakable.2000.1080p.BrRip.x264.YIFY.html
24,U-571,"$77,122,415","2,820","$77,122,415",Apr 21,Universal Pictures,https://www.subtitlecat.com/subs/554/U%20571%202000.html
25,Hollow Man,"$73,209,340","2,956","$73,209,340",Aug 4,Sony Pictures Releasing,https://www.subtitlecat.com/subs/393/Hollow.Man.2000.DC.1y.x265-RARBG.html
26,Stuart Little,"$72,701,240","3,151","$140,035,367",Dec 17,Sony Pictures Releasing,https://subtitlecat.com/subs/206/Stuart.Little.1999.1080p.BluRay%20English.html
27,Shaft,"$70,334,258","2,433","$70,334,258",Jun 16,Paramount Pictures,https://subtitlecat.com/subs/56/Shaft.2000.BluRay.html
28,The Green Mile,"$69,839,360","2,875","$136,801,374",Dec 10,Warner Bros.,https://www.subtitlecat.com/subs/42/The.Green.Mile.1999.1080p.BrRip.x264.YIFY.html
29,The Kid,"$69,691,949","2,343","$69,691,949",Jul 7,Walt Disney Studios Motion Pictures,https://subtitlecat.com/subs/139/The.Kid.2000.1080p.WEBRip.x264-%5BYTS.AM%5D-eng.html
30,Rugrats in Paris,"$68,941,692","2,937","$76,507,756",Nov 17,Paramount Pictures,https://www.subtitlecat.com/subs/108/Rugrats%20in%20Paris.html
31,Road Trip,"$68,540,777","2,654","$68,540,777",May 19,DreamWorks Distribution,https://www.subtitlecat.com/subs/74/Road%20Trip%20%282000%29%20UNRATED%201080p%20BluRay.en.html
32,Bring It On,"$68,337,590","2,466","$68,379,000",Aug 25,Universal Pictures,https://www.subtitlecat.com/subs/423/Bring.It.On.2000.1080p.BluRay.x264-PHOBOS.html
33,Rules of Engagement,"$61,335,230","3,220","$61,335,230",Apr 7,Paramount Pictures,https://subtitlecat.com/subs/847/Rules%20of%20Engagement%20%282000%29.en.html
34,The Cell,"$61,334,059","2,476","$61,334,059",Aug 18,New Line Cinema,https://www.subtitlecat.com/subs/112/The.Cell.2000.720p.BluRay.x264-%5BYTS.AM%5D.html
35,Mission to Mars,"$60,883,407","3,101","$60,883,407",Mar 10,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/798/Mission%20to%20Mars%20%282000%29.html
36,Coyote Ugly,"$60,786,269","2,664","$60,786,269",Aug 4,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/306/Coyote.Ugly.2000.1080p.BluRay.x264.YIFY.html
37,Snow Day,"$60,020,107","2,717","$60,020,107",Feb 11,Paramount Pictures,https://www.subtitlecat.com/subs/152/Snow%20Day%20%282000%29%20%28Chevy%20Chase%20Chris%20Elliott%29.html
38,Fantasia 2000,"$59,809,390","1,313","$60,655,420",Jan 1,Walt Disney Studios Motion Pictures,https://subtitlecat.com/subs/247/Fantasia.2000.1999.1080p.BluRay.H264.AAC-RARBG.html
39,American Beauty,"$59,267,786","1,990","$130,096,601",Sep 15,DreamWorks Distribution,https://www.subtitlecat.com/subs/55/American.Beauty.1999.1080p.BrRip.x264.BOKUTOX.YIFY.html
40,Next Friday,"$57,328,603","1,420","$57,328,603",Jan 12,New Line Cinema,https://subtitlecat.com/subs/513/Next.Friday.2000.720p.BluRay.x264.YIFY.ENG.html
